Dag,Dato,Hva økt 1,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
mandag,23.juni,Skiskole: Bull superski,,,
tirsdag,24.juni,,,,
onsdag,25.juni,,,,
torsdag,26.juni,,,,
fredag,27.juni,Hvile,00:00,,
lørdag,28.juni,Intervall 5-6-7-6-5min skate i3/terskel,01:30,Holde farten/pulsen jevn og kontrollert selv om dragene er av forskjellig tid,
søndag,29.juni,Styrke,01:15,,
,,,,,
mandag,30.juni,Hurtighet klassisk,01:30,,
tirsdag,1.juli,Intervall 5x4min løp i4,01:15,"Skal kunne gå relativt fort, men hold igjen på det aller siste giret. Viktig å klare disponering på i4-intervaller også",
onsdag,2.juli,Langtur skate,02:30,Gjerne gå to perioder på 5min uten staver i løpet av økta,
torsdag,3.juli,Valgfri: klassisk eller hvile,01:30,,
fredag,4.juli,Intervall 6x5min klassisk i3/terskel,01:30,"Skille farten på den her og den som kommer på mandag. Denne skal være kontrollert, mandag kan være raskere",
lørdag,5.juli,Styrke,01:15,,
søndag,6.juli,Hvile,00:00,,"9,5t"
,,,,,
mandag,7.juli,Intervall 4x5min løp i4,01:15,"Skal kunne gå relativt fort, men hold igjen på det aller siste giret. Viktig å klare disponering på i4-intervaller også",
tirsdag,8.juli,Langtur klassisk,02:30,Gjerne gå to perioder på 5min uten staver i løpet av økta,
onsdag,9.juli,Hurtighet skate,01:15,,
torsdag,10.juli,Intervall skate 5x6min i3/terskel,01:30,,
fredag,11.juli,Hvile,00:00,Kroatia,
lørdag,12.juli,Styrke,01:15,Kjør styrkeprogrammet som er for uten vekter,
søndag,13.juli,Valgfri: løp eller hvile,01:00,,"8,75t"
,,,,,
mandag,14.juli,Intervall 5x4min løp i4,01:15,"Hvis man vil ha økten enda mer effektiv kan du kjøre 20-25min oppvarming, og kutte ut nedjogg.",
tirsdag,15.juli,Styrke,01:15,,
onsdag,16.juli,Hvile,00:00,,
torsdag,17.juli,Valgfri: løp eller hvile,01:00,"Ikke noe problem å ta hvile her, om du ønsker det :-)",
fredag,18.juli,Intervall 5x3min løp i5,01:15,Gjerne finn en motbakke og bruk den. Pause mellom 2-3min evt pause å løpe ned til bunn igjen.,
lørdag,19.juli,Styrke,01:15,,
søndag,20.juli,Hvile,00:00,Kroatia,6t
,,,,,
mandag,21.juli,Løpetur,,Italia- ikke tilgang på rulleski eller sykkel (planlagt løpeøkt med familien),
tirsdag,22.juli,,,Italia - ikke tilgang på ski eller sykkel ,
onsdag,23.juli,Fjellturer,,Seiser Alm - planlagt fjelltur med familien ,
torsdag,24.juli,Fjellturer,,Seiser Alm - planlagt fjelltur med familien ,
fredag,25.juli,Fjellturer,,Seiser Alm - planlagt fjelltur med familien ,
lørdag,26.juli,Hvile,00:00,Bilferie,
søndag,27.juli,Hurtighet løp,01:15,,
,,,,,
mandag,28.juli,Intervall 4x4min i4 løp,01:15,Husk å hold igjen det aller siste giret. Skal likevel gå fort :-),
tirsdag,29.juli,Styrke,01:15,,
onsdag,30.juli,Hvile,00:00,,
torsdag,31.juli,Løp,01:00,Husk at dagene før intervall er det ekstra viktig å holde lav intensitet,
fredag,1.august,Intervall 3-4-5-4-3min i4 løp,01:15,"Hold alt i i4, selv om dragene varierer i tid",
lørdag,2.august,Styrke,01:15,,
søndag,3.august,Hvile,00:00,Bilferie,6t
,,,,,
mandag,4.august,Klassisk,01:30,"Usikkert hva vi gjør denne uka, mulig noen fjellturer. Vi justerer bare planen ved behov ",
tirsdag,5.august,Intervall skate 5x4min i4,01:15,Om du ønsker kan du skru opp intensiteten på siste to dragene (i5),
onsdag,6.august,Styrke,01:15,,
torsdag,7.august,Valgfri: løp eller hvile,01:00,,
fredag,8.august,Intervall klassisk 4/5x7min i3/terskel,01:30,"Ganske lange drag, så ta å se om det holder med 4stk. Om kroppen er veldig bra må du gjerne ta 5.",
lørdag,9.august,Hurtiget skate,01:15,,
søndag,10.august,Hvile,00:00,,"8,5t"
,,,,,
mandag,11.august,Trysil sommerskiskole,,,
tirsdag,12.august,,,,
onsdag,13.august,,,,
torsdag,14.august,,,,
fredag,15.august,,,,
lørdag,16.august,Hvile,00:00,,
søndag,17.august,Hvile,00:00,,
,,,,,
mandag,18.august,Fotballtrening,01:30,,
tirsdag,19.august,Hurtighet løp,01:30,,
onsdag,20.august,Fotballkamp,01:15,,
torsdag,21.august,Intervall 4/5x6min i3/terskel løp,01:30,"Se an kroppen litt underveis om det holder med 4 eller 5 drag, ut i fra hvor hard fotballkampen var",
fredag,22.august,Hvile,00:00,,
lørdag,23.august,Sykkel 30min + styrke overkropp 45min,01:15,,
søndag,24.august,Intervall 4x4min i4 skate,01:15,"Motbakkeløp til uka, så hold igjen på det aller siste giret, men skal likevel være litt hardt","8,25t"
,,,,,
mandag,25.august,TG2 - Klassisk,01:30,Teknikktrening langrenn ,
tirsdag,26.august,Teknikk skate (strikk og øvelser),01:30,,
onsdag,27.august,Fotballkamp,01:15,,
torsdag,28.august,Motbakkeløp,01:45,,
fredag,29.august,Styrke,01:15,,
lørdag,30.august,Hvile,00:00,Konfirmasjon hele dagen ,
søndag,31.august,Langtur klassisk,02:00,,"9,25t"
,,,,,
mandag,1.september,Fotballtrening,01:30,,
tirsdag,2.september,Intervall 5-6-7-6-5min i3/terskel klassisk,01:30,Om du ønsker kan du gi på litt ekstra gass på de siste to dragene,
onsdag,3.september,Fotballkamp,01:15,,
torsdag,4.september,Felthurtighet skate,01:30,,
fredag,5.september,Hvile,00:00,Gøteborghelg - kan trene litt lett styrke fre+lør ,
lørdag,6.september,Styrke,01:00,Gøteborghelg - kan trene litt lett styrke fre+lør ,
søndag,7.september,Klassisk,01:00,Rekker sannsynligvis å trene på ettermiddagen ,"7,75t"
,,,,,
mandag,8.september,Fotballtrening,01:30,,
tirsdag,9.september,Intervall 7-6-5-6-7min i3/terskel skate,01:30,"Sørg for å åpne fornuftig og at midterste drag ikke går for hardt, da det blir en 7-minutter på snlutten igjen ",
onsdag,10.september,Fotballkamp,01:15,,
torsdag,11.september,Hurtighet klassisk,01:30,,
fredag,12.september,Hvile,00:00,,
lørdag,13.september,Forflyttingssamling dag 1,05:00,"Blir store mengder trening og tung belastning på kroppen, da er det veldig viktig å holde intensiteten lav hele dagen.",
søndag,14.september,Forflyttingssamling dag 2,05:00,,"15,75t"
,,,,,
mandag,15.september,Fotballtrening,01:30,,
tirsdag,16.september,Hurtighet løp,01:30,,
onsdag,17.september,Fotballkamp,01:15,,
torsdag,18.september,Teknikk klassisk,01:30,,
fredag,19.september,Hvile,00:00,,
lørdag,20.september,Oslo Marathon 10km,01:30,,
søndag,21.september,Skate 1t + 30min styrke overkropp,01:30,"Se an bena om det er best med skate eller sykkel. Også mulig å korte litt ned på turen, men kjør 30min styrke","8,75t"
,,,,,
mandag,22.september,Fotballtrening,01:30,Hvile mandag eller tirsdag,
tirsdag,23.september,"Lett (Hurtighet, spenst, og litt lek)",01:30,,
onsdag,24.september,Fotballkamp,01:15,,
torsdag,25.september,Terrengløp Asker Sk,01:30,,
fredag,26.september,Bortesamling,,,
lørdag,27.september,Bortesamling,,,
søndag,28.september,Bortesamling,,,
,,,,,
mandag,29.september,Langtur løp,02:30,,
tirsdag,30.september,Hvile,00:00,Dobbel hvile etter mye trening på samlingen,
onsdag,1.oktober,Hvile,00:00,,
torsdag,2.oktober,Styrke,01:15,,
fredag,3.oktober,Intervall 5x4min i4 klassisk eller løp,01:30,,
lørdag,4.oktober,Langtur eller fjelltur,02:30,"To langturer, tid et sted mellom 2-3t, du kan velge. Viktig å holde lav intensitet (i1)",
søndag,5.oktober,Langtur eller fjelltur,02:00,,"9,75t"
,,,,,
mandag,6.oktober,Fotballtrening,01:30,,
tirsdag,7.oktober,Intervall 4x7min i3/terskel skate,01:30,"Forholdsvis lange drag, så viktig å ha kontroll fra start av",
onsdag,8.oktober,Fotballkamp,01:15,,
torsdag,9.oktober,Hurtighet + teknikk klassisk,01:30,,
fredag,10.oktober,Hvile,00:00,,
lørdag,11.oktober,Langtur løp m/langkjøringsgruppa,02:30,"Blir bollestopp underveis, så ta med penger. Fokus på å holde seg mest mulig i i1",
søndag,12.oktober,Intervall 4x5min i4 løp,01:15,"Skal kunne holde et høyt tempo, men spar på det aller siste giret","9,5t"
,,,,,
mandag,13.oktober,Fotballtrening,01:30,,
tirsdag,14.oktober,Hurtighet & spenst + Asker Sk Stafetten løp,01:30,,
onsdag,15.oktober,Fotballkamp,01:15,,
torsdag,16.oktober,Motbakkeløp,01:45,,
fredag,17.oktober,Hvile,00:00,,
lørdag,18.oktober,Distanseøkt skate,01:30,,
søndag,19.oktober,Sprintøkt klassisk,02:00,,"9,5t"
,,,,,
mandag,20.oktober,Fotballtrening,01:30,,
tirsdag,21.oktober,Teknikk skate,01:30,,
onsdag,22.oktober,Fotballkamp,01:15,,
torsdag,23.oktober,Intervall 5x6min i3/terskel klassisk,01:30,"Viktig med kontroll hele veien, etter en hard helg",
fredag,24.oktober,Hvile,00:00,,
lørdag,25.oktober,Styrke,01:15,,
søndag,26.oktober,Intervall 5x4min i4 løp,01:30,,"8,5t"
,,,,,
mandag,27.oktober,Fotballtrening,01:30,,
tirsdag,28.oktober,Felthurtighet skate,01:30,,
onsdag,29.oktober,Fotballkamp,01:15,,
torsdag,30.oktober,Intervall 5/6x3min i5 hufs løping/m staver,01:30,"Viktig å åpne med en viss kontroll, slik at man klarer å løpe siste draget også",
fredag,31.oktober,Hvile,00:00,,
lørdag,1.november,Styrke,01:15,,
søndag,2.november,Intervall 3x6min i3 + 3x4min i4 valgfri stilart/løp,01:30,"Husk å skill godt på intensiteten. Første tre veldig kontrollerte (6min), siste tre økes farten (4min)",
,,,,,
mandag,3.november,Styrke m/Asker Sk,01:15,Lilje slutter på fotballtrening etter oktober. Kan derfor få flere langrennsøkter - egentreningsøkter i ukedager/helg,
tirsdag,4.november,Intervall (4min + 6min (45/15))x3 i4/i5 hufs m/staver,01:30,"Første 3-4 dragene må være i i4, deretter kan man øke farten og bevege seg inn i i5",
onsdag,5.november,Skate,01:30,Valgfri: kjør eventuelt hvile,
torsdag,6.november,Løp,00:45,Konfirmasjonsmøte 18-19,
fredag,7.november,Hvile,00:00,,
lørdag,8.november,Intervall skate 5x4min i4,01:15,"Hard intervall både i forkant og etterkant av denne, så legg deg mot det lavere siktet i4",
søndag,9.november,Klassisk,01:45,,
,,,,,
mandag,10.november,Styrke m/Asker Sk,01:15,,
tirsdag,11.november,Intervall HYROX i5,01:30,,
onsdag,12.november,Skate,01:30,Valgfri: kjør eventuelt hvile,
torsdag,13.november,Hurtighet løp,01:30,,
fredag,14.november,Hvile,00:00,,
lørdag,15.november,Intervall klassisk 3x4min i4 + 4x2min i5,01:15,"Viktig å skille på tempo, første 3 dragene må tas med litt kontroll, siste 4 (2-minutterne) tar man ut det man har",
søndag,16.november,Langtur løp,02:30,,
,,,,,
mandag,17.november,Styrke m/Asker Sk,01:15,,
tirsdag,18.november,Hurtighet & Spenst løp,01:30,,
onsdag,19.november,Klassisk,01:15,Valgfri: kjør eventuelt hvile,
torsdag,20.november,Intervall 3x6min i3 + 3x4min i4 løp,01:30,"Todelt intervall, første del veldig kontrollert, deretter lov å skru opp tempo litt",
fredag,21.november,Hvile,00:00,,
lørdag,22.november,Skate,01:30,Husk å hold dagene før intervaller rolig (i1),
søndag,23.november,Intervall klassisk eller løp 4x5min i4,01:15,"Prøv å hold pulsen stabilt i i4, og ikke bli overivrig",
,,,,,
mandag,24.november,Styrke m/Asker Sk,01:15,,
tirsdag,25.november,Hurtighet løp,01:30,,
onsdag,26.november,Hvile,00:00,,
torsdag,27.november,Intervall 6x2min i5 løp m/staver,01:30,"Beinhard økt, i dag er det lov å ta i det man har. Hold likvel et lite knepp igjen første 2 dragene",
fredag,28.november,Tilvenningsøkt klassisk Trysil,01:30,,
lørdag,29.november,Teknikk: Langtur skate + klassisk Trysil,04:00,,
søndag,30.november,Intervall skate 5x6min i3/terskel Trysil,01:30,Intervall for å komme inn i det tekniske. Viktig at man ikke går for fort.,
,,,,,
mandag,1.desember,Hvile,00:00,,
tirsdag,2.desember,Styrke,01:15,,
onsdag,3.desember,Intervall skate 5x4min i4,01:30,"Dønn kontroll. Mange i5 økter i denne perioden, så hold igjen på siste giret i dag",
torsdag,4.desember,Hurtighet klassisk,01:30,"Samle overskudd frem mot Hakadal, så sørg for at øktene fremover ikke blir lenger enn planlagt og hold riktig intensitet",
fredag,5.desember,Skate,01:00,Valgfri: kjør eventuelt hvile,
lørdag,6.desember,Intervall klassisk 5x3min i5 (4min i3 oppvarmingsdrag),01:15,"Kjør et oppvarmingsdrag først, deretter er det bare å gi gass. Prøv å hold en viss progresjon fra lav i5 til høy i5",
søndag,7.desember,Skate,01:45,,
,,,,,
mandag,8.desember,Hvile,00:00,"Skal være relativt rolig, bruker du vekter så gå ned 5-10kg og kjør øvelsene veldig eksplosivt. Økten er mer ment for å vekke musklene, enn å bli støl og sliten.",
tirsdag,9.desember,"Styrke, lett eksplosiv",01:15,,
onsdag,10.desember,Intervall skate 4x4min i4 + 3x2min i5,01:30,"Veldig viktig at de første fire dragene er med ""bremsen"" på, kun siste tre 2-minuttersdragene som er bånn gass",
torsdag,11.desember,"Basisferdigheter (svinger, utfor, balanse) klassisk",01:30,,
fredag,12.desember,Rennforberedende skate,01:00,"Kjør de forberedelsene du er trygg på. Noen varianter: 5 stigningsdrag (ca 30sek), 5 hurtighetsdrag, 3x2min i4",
lørdag,13.desember,Hakadalsrennet fristil,01:30,Masse lykke til! Veldig viktig å holde fokus på de tekniske oppgavene og ikke stresse. Da man går raskest,
søndag,14.desember,Konnerudrennet klassisk,01:30,,
,,,,,
