Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
tirsdag,22.juli,Hurtighet klassisk,01:15,,,,
onsdag,23.juli,Intervall skate 5x6min i3/terskel,01:15,Styrke,01:15,"Åpne veldig forsiktig på første to dragene, slik at kroppen får dratt igang på en fornuftig måte etter sykdom",
torsdag,24.juli,Langtur sykkel,02:30,,,Et sted mellom 2-3t på langturene er fint,
fredag,25.juli,Hvile,00:00,,,,
lørdag,26.juli,Intervall løp 4x5min i4,01:30,Styrke,01:15,"Klink i4, ikke la deg friste til å gi for mye gass",
søndag,27.juli,Skate,01:45,,,,"12,75t"
,,,,,,,
mandag,28.juli,Hurtighet klassisk,01:30,,,,
tirsdag,29.juli,Intervall skate 5/6x4min i4,01:15,Styrke,01:15,Ta å se an dagsform og åpningsfart om du skal ta 5 eller 6 drag,
onsdag,30.juli,Langtur klassisk,02:30,,,Gjerne gå to perider på 5min uten staver,
torsdag,31.juli,Klassisk,01:30,,,Husk å hold dagene før intervall rolig nok,
fredag,1.august,Intervall løp 6-7-8-7-6min i3/terskel,01:30,Styrke,01:15,"Prøv å holde jevn fart på alle drag, unngå syra.",
lørdag,2.august,Sykkel,02:00,,,,
søndag,3.august,Hvile,00:00,,,,"12,75t"
,,,,,,,
mandag,4.august,Intervall klassisk 4/5x5min i4,01:15,Styrke,01:15,Husk å hold igjen det aller siste giret. Skal likevel gå fort :-),
tirsdag,5.august,Langtur skate,02:30,,,Gjerne gå to perider på 5min uten staver,
onsdag,6.august,Klassisk,01:15,,,,
torsdag,7.august,Hurtighet skate,01:30,,,,
fredag,8.august,Intervall løp 5x6min i3/terskel,01:30,Styrke,01:15,Ha kontroll hele veien,
lørdag,9.august,Sykkel,01:30,,,,
søndag,10.august,Hvile,00:00,,,,12t
,,,,,,,
mandag,11.august,Hurtighet løp,01:15,,,,
tirsdag,12.august,Intervall skate 5-6-7-6-5min i3/terskel,01:30,Styrke,01:15,"Hold alt i i3, selv om dragene varierer i tid",
onsdag,13.august,Langtur sykkel,03:00,,,,
torsdag,14.august,Klassisk,01:15,,,,
fredag,15.august,Intervall løp 5/6x1000m i5,01:15,Styrke overkropp,00:45,Gjerne løp et flatt strekke langs sjøen eller på friidrettsbane. Åpne med nok kontroll første og andre drag,
lørdag,16.august,Skate,01:45,,,,
søndag,17.august,Hvile,00:00,,,,"12,5t"
,,,,,,,
mandag,18.august,Hvile,00:00,,,Klassetur,
tirsdag,19.august,Hvile,00:00,,,Klassetur,
onsdag,20.august,Klassisk,01:15,,,,
torsdag,21.august,Intervall 4/5x6min i3/terskel løp,01:30,,,"Kan fint kjøre 4 drag om man må spare kroppen litt til søndagen, ta å kjenn etter underveis",
fredag,22.august,Hvile,00:00,,,,
lørdag,23.august,Rennforberedende skate,01:00,,,,
søndag,24.august,Sørlisprinten skate,02:00,Styrke,01:15,,7t
,,,,,,,
mandag,25.august,TG2 - klassisk,01:30,,,,
tirsdag,26.august,Teknikk skate (strikk og øvelser),01:30,,,,
onsdag,27.august,Klassisk,01:00,,,,
torsdag,28.august,Motbakkeløp,01:45,,,,
fredag,29.august,Hvile,00:00,,,,
lørdag,30.august,Sprintøkt klassisk,02:00,,,,
søndag,31.august,Sykkel,01:45,,,,"9,5t"
,,,,,,,
mandag,1.september,Skate m/6 stignings-/hurtighetsdrag,01:00,,,,
tirsdag,2.september,Vestmarka opp klassisk,01:30,,,,
onsdag,3.september,Hvile,00:00,,,,
torsdag,4.september,Felthurtighet skate,01:30,,,,
fredag,5.september,Sykkel 30min + 45min styrke overkropp,01:15,,,,
lørdag,6.september,Intervall 5x6min i3/terskel løp,01:30,,,,
søndag,7.september,Hvile,00:00,,,Konfimasjon,"6,75t"
,,,,,,,
mandag,8.september,Klassisk,01:15,,,,
tirsdag,9.september,Intervall 7-6-5-6-7min i3/terskel skate,01:30,,,"Sørg for å åpne fornuftig og at midterste drag ikke går for hardt, da det blir en 7-minutter på snlutten igjen ",
onsdag,10.september,Sykkel 30min + 45min styrke overkropp,01:15,,,,
torsdag,11.september,Hurtighet klassisk,01:30,,,,
fredag,12.september,Intervall 5x4min i4 løp,01:15,,,"Prøv å hold alt i i4, da det ellers blir mye i5 i denne perioden",
lørdag,13.september,Hvile,00:00,,,Konfirmasjon til fetter,
søndag,14.september,Forflyttingssamling dag 2,05:00,,,"Blir store mengder trening og tung belastning på kroppen, da er det veldig viktig å holde intensiteten lav hele dagen.","11,75t"
,,,,,,,
mandag,15.september,Styrke,01:15,,,,
tirsdag,16.september,Hurtighet løp,01:30,,,,
onsdag,17.september,Intervall 5x7min i3/terskel klassisk,01:30,,,Ha kontroll hele veien og unngå syre. ,
torsdag,18.september,Teknikk klassisk,01:30,,,,
fredag,19.september,Hvile,00:00,,,,
lørdag,20.september,Rennforberedende skate 3x2min (5km fart),01:15,,,"5km ""åpningsfart"", unngå syre",
søndag,21.september,Rælingenrennet skate,01:30,Styrke,01:15,,"9,75t"
,,,,,,,
mandag,22.september,Klassisk,01:15,,,,
tirsdag,23.september,"Lett (Hurtighet, spenst, og litt lek)",01:30,,,,
onsdag,24.september,Hvile,00:00,,,,
torsdag,25.september,Terrengløp Asker Sk,01:30,,,,
fredag,26.september,Bortesamling,,,,,
lørdag,27.september,Bortesamling,,,,,
søndag,28.september,Bortesamling,,,,,
,,,,,,,
mandag,29.september,Langtur løp,02:30,,,,
tirsdag,30.september,Hvile,00:00,,,"Dobbel hvile, nullstille kroppen etter samling og en periode med mange konkurranser",
onsdag,1.oktober,Hvile,00:00,,,,
torsdag,2.oktober,Skate m/6 hurtighetsdrag,01:15,,,"Vekke kroppen etter to hvile dager, kjør 6 hurtighetsdrag fordelt utover i økten",
fredag,3.oktober,Intervall 5x6min i3/terskel klassisk,01:30,Styrke,01:15,,
lørdag,4.oktober,Langtur skate eller sykkel,03:00,,,"To langturer, tid et sted mellom 2-3t, du kan velge. Viktig å holde lav intensitet (i1)",
søndag,5.oktober,Langtur løp,02:30,,,,12t
,,,,,,,
mandag,6.oktober,Klassisk,01:00,,,"Huske å ta det ekstra rolig alle dager før intervall, slik at man sikrer at intervallen blir best mulig",
tirsdag,7.oktober,Intervall 4/5x7min i3/terskel skate,01:30,,,"Forholdsvis lange drag, så viktig å ha kontroll fra start av",
onsdag,8.oktober,Styrke,01:15,,,,
torsdag,9.oktober,Hurtighet + teknikk klassisk,01:30,,,,
fredag,10.oktober,Hvile,00:00,,,,
lørdag,11.oktober,Langtur løp m/langkjøringsgruppa,02:30,,,"Blir bollestopp underveis, så ta med penger. Fokus på å holde seg mest mulig i i1",
søndag,12.oktober,Intervall 4/5x5min i4 løp,01:15,Styrke,01:15,"Skal kunne holde et høyt tempo, men spar på det aller siste giret","10,25t"
,,,,,,,
mandag,13.oktober,Skate,01:00,,,,
tirsdag,14.oktober,Hurtighet & spenst + Asker Sk Stafetten løp,01:30,,,,
onsdag,15.oktober,Rennforberedende klassisk,01:00,,,Kjør 5 stigningsdrag eller hurtighetsdrag,
torsdag,16.oktober,Motbakkeløp,01:45,,,,
fredag,17.oktober,Hvile,00:00,,,,
lørdag,18.oktober,Distanseøkt skate,01:30,Rolig løp,00:20,Kan teste en kort kveldsjogg her,
søndag,19.oktober,Sprintøkt klassisk,02:00,,,,"8,75t"
,,,,,,,
mandag,20.oktober,Løp 45min + 30min styrke overkropp,01:15,,,,
tirsdag,21.oktober,Teknikk skate,01:30,,,,
onsdag,22.oktober,Hurtighet klassisk eller skate,01:15,,,,
torsdag,23.oktober,Intervall 5x6min i3/terskel klassisk,01:30,,,"Viktig at det kjøres kontrollert hele veien, slik at lørdagen også blir med bra kvalitet",
fredag,24.oktober,Hvile,00:00,,,,
lørdag,25.oktober,Intervall 5-6-7-6-5min i3/terskel løp,01:15,Styrke,01:15,"Dønn kontroll på denne, ikke noe som helst i4",
søndag,26.oktober,Langtur klassisk eller sykkel,03:00,,,,11t
,,,,,,,
mandag,27.oktober,Styrke,01:15,,,,
tirsdag,28.oktober,Felthurtighet skate,01:30,,,,
onsdag,29.oktober,Klassisk,01:00,,,,
torsdag,30.oktober,Intervall 5/6x3min i5 hufs løping/m staver,01:30,,,"Viktig å åpne med en viss kontroll, slik at man klarer å løpe siste draget også",
fredag,31.oktober,Hvile,00:00,,,,
lørdag,1.november,Skate,01:45,,,,
søndag,2.november,Intervall 3x6min i3 + 3x4min i4 valgfri stilart/løp,01:30,Styrke,01:15,"Husk å skill godt på intensiteten. Første tre veldig kontrollerte (6min), siste tre økes farten (4min)",
,,,,,,,
