Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
onsdag,25.juni,Intervall 5-6-7-6-5min i3/terskel skate,01:30,,,Holde farten/pulsen jevn og kontrollert selv om dragene er av forskjellig tid,
torsdag,26.juni,Langtur klassisk,02:30,,,Gjerne gå to perioder på 5min uten staver i løpet av økta.,
fredag,27.juni,Hvile,00:00,,,,
lørdag,28.juni,Intervall 4/5x5min i4 klassisk,01:15,,,Prøve å holde jevn fart på alle drag. Er kroppen bra og du treffer med åpningsfart kan du vurdere 5stk,
søndag,29.juni,Valgfri: styrke eller hvile,01:15,,,,9t
,,,,,,,
mandag,30.juni,Sykkel,01:30,,,,
tirsdag,1.juli,Intervall 5x7min i3/terskel skate,01:30,,,Drar til Italia på ettermiddagen,
onsdag,2.juli,Hvile,00:00,,,,
torsdag,3.juli,Hurtighet løp,01:15,,,,
fredag,4.juli,Valgfri: løp eller hvile,01:00,,,"Ikke noe problem å ta hvile her, om du ønsker det",
lørdag,5.juli,Intervall 5x4min løp i4,01:15,,,"Hvis man vil ha økten enda mer effektiv kan du kjøre 20-25min oppvarming, og kutte ut nedjogg.",
søndag,6.juli,Styrke,01:15,,,Kjør styrkeprogrammet som er for uten vekter,"7,75t"
,,,,,,,
mandag,7.juli,Hvile,00:00,,,,
tirsdag,8.juli,Intervall 5x3min løp i5,01:15,,,Gjerne finn en motbakke og bruk den. Pause mellom 2-3min evt pause å løpe ned til bunn igjen. Drar fra Italia 20:00,
onsdag,9.juli,Styrke,01:15,,,,
torsdag,10.juli,Valgfri: Hurtighet skate eller hvile,01:15,,,,
fredag,11.juli,Intervall 6-7-8-7-6min i3/terskel klassisk,01:30,,,"Holde farten og pulsen jevn, selv om dragene varierer i tid.",
lørdag,12.juli,Langtur skate,02:30,,,Gjerne gå to perioder på 5min uten staver i løpet av økta. Holde pulsen lav på langturene.,
søndag,13.juli,Hvile,00:00,,,,"7,75t"
,,,,,,,
mandag,14.juli,Intervall 4x5min i4 skate,01:15,,,"Tre intervaller denne uken, så viktig å treffe med riktig fart og intensitet på alle tre",
tirsdag,15.juli,Langtur sykkel,02:30,,,,
onsdag,16.juli,Valgfri: Hurtighet klassisk eller hvile,01:00,,,,
torsdag,17.juli,Intervall 5x6min i3/terskel løp,01:30,,,Prøve å holde jevn fart på alle drag. Skal være kontrollert uten å bygge syre i bena.,
fredag,18.juli,Styrke,01:15,,,,
lørdag,19.juli,Hvile,00:00,,,,
søndag,20.juli,Intervall klassisk 3-4-5-4-3min i4,01:15,,,"Hold samme tempo/puls på alle drag, selv på 3-minutterne","8,75t"
,,,,,,,
mandag,21.juli,Styrke,01:15,,,,
tirsdag,22.juli,Langtur sykkel eller løp,02:30,,,,
onsdag,23.juli,Hurtighet løp,01:30,,,,
torsdag,24.juli,Intervall skate 5-6-7-6-5min i3/terskel,01:30,,,"Hold alt i i3, selv om dragene varierer i tid",
fredag,25.juli,Styrke,01:15,,,,
lørdag,26.juli,Valgfri: sykkel eller hvile,01:30,,,,
søndag,27.juli,Intervall klassisk 4x5min i4,01:15,,,Hold pulsen stabil på alle drag. Unngå at første blir for tregt og at siste blir for hardt,"10,75t"
,,,,,,,
mandag,28.juli,Hvile,00:00,,,Drar opp på hytta/hvile,
tirsdag,29.juli,30min rolig løp + styrke overkropp 45min,01:15,,,,
onsdag,30.juli,Intervall løp 5x6min i3/terskel,01:30,,,Prøve å holde jevn/lik fart på alle drag,
torsdag,31.juli,Langtur skate,02:30,,,Gjerne gå 2 perioder på 5min uten staver ila økten,
fredag,1.august,Hurtighet klassisk,01:15,,,,
lørdag,2.august,Intervall skate 3-4-5-4-3min i4,01:15,,,Hvis du ønsker kan du gi på litt ekstra mot slutten i dag (i5),
søndag,3.august,Hvile,00:00,,,,"7,75t"
,,,,,,,
mandag,4.august,Klassisk,01:15,,,,
tirsdag,5.august,Intervall klassisk 4/5x7min i3/terskel,01:30,,,"Ganske lange drag, så ta å se om det holder med 4stk. Om kroppen er veldig bra må du gjerne ta 5.",
onsdag,6.august,Styrke,01:15,,,,
torsdag,7.august,Hurtighet skate,01:30,,,,
fredag,8.august,Intervall løp 5x4min i4,01:15,,,"Prøve å ligge stabilt i i4, helst ikke så mye i5 da Trysil sommerskiskole er rett rundt hjørnet",
lørdag,9.august,Hvile,00:00,,,Drar hjem fra hytta/hvile,
søndag,10.august,Hvile,00:00,,,Til Trysil sommerskiskole/hvile,"6,75t"
,,,,,,,
mandag,11.august,Trysil sommerskiskole,,,,,
tirsdag,12.august,,,,,,
onsdag,13.august,,,,,,
torsdag,14.august,,,,,,
fredag,15.august,,,,,,
lørdag,16.august,Hvile,00:00,,,,
søndag,17.august,Valgfri: sykkel eller hvile,01:00,,,Se an kroppen om du trenger to rene hviledager for å hente deg helt inn etter mye trening,
,,,,,,,
mandag,18.august,,,Styrke,01:15,,
tirsdag,19.august,,,Hurtighet løp,01:30,,
onsdag,20.august,,,Valgfri: skate eller hvile,01:00,,
torsdag,21.august,,,Intervall 4/5x6min i3/terskel løp,01:30,"Kan fint kjøre 4 drag om man må spare kroppen litt til søndagen, ta å kjenn etter underveis",
fredag,22.august,,,Klassisk,01:15,,
lørdag,23.august,Hvile,00:00,Skate m/5 hurtighetdrag,00:45,,
søndag,24.august,Sørlisprinten skate,02:00,,,,"8,5t + skole"
,,,,,,,
mandag,25.august,,,TG1 - Klassisk + 45min styrke overkropp,02:15,,
tirsdag,26.august,,,Teknikk skate (strikk og øvelser),01:30,,
onsdag,27.august,,,Rennforberedende klassisk,01:00,Kjør 6 stigningsdrag,
torsdag,28.august,,,Motbakkeløp,01:45,,
fredag,29.august,,,Valgfri: Sykkel eller hvile,01:00,"Se an hva dere gjør på skolen, ikke noe problem å kjøre ""hvile"" på kvelden",
lørdag,30.august,Sprintøkt klassisk,02:00,,,,
søndag,31.august,Hvile,00:00,,,,10t + skole
,,,,,,,
mandag,1.september,,,Skate,01:15,,
tirsdag,2.september,,,Vestmarka opp klassisk,01:30,,
onsdag,3.september,Basis styrke inne. lav/middels,01:00,Styrke,01:15,,
torsdag,4.september,Overnattingstur til hernestangen,,Felthurtighet skate,01:30,,
fredag,5.september,Overnattingstur til hernestangen,,Valgfri: Klassisk eller hvile,00:45,,
lørdag,6.september,Hvile,00:00,,,,
søndag,7.september,Intervall 5-6-7-6-5min i3/terskel,01:30,,,,"7,75t + skole"
,,,,,,,
mandag,8.september,Basis styrke inne lav/middels,01:00,Styrke,01:15,,
tirsdag,9.september,Idrettspesefik basis,01:15,Skate,01:15,,
onsdag,10.september,,,Valgfri: Klassisk eller hvile,01:00,,
torsdag,11.september,Sjakk og bordtennisturnering lav,01:00,Askerspurten,01:30,,
fredag,12.september,Orientering ,01:15,Hvile,00:00,,
lørdag,13.september,Forflyttingssamling dag 1,05:00,,,,
søndag,14.september,Forflyttingssamling dag 2,05:00,,,,15t + skole
,,,,,,,
mandag,15.september,Friidrett,01:30,Styrke,01:15,,
tirsdag,16.september,Idrettspesefik basis,01:15,Hurtighet løp,01:30,,
onsdag,17.september,Idrettspesefik basis,01:15,Hvile,00:00,,
torsdag,18.september,,,Teknikk klassisk,01:30,,
fredag,19.september,Orientering lav/middels,,Hvile,00:00,,
lørdag,20.september,Oslo Marathon 10km,01:30,,,,
søndag,21.september,Rælingenrennet skate,01:30,,,,"8,25t + skole"
,,,,,,,
mandag,22.september,Friidrett,01:30,Hvile,00:00,,
tirsdag,23.september,Idrettspesefik basis,01:30,"Lett (Hurtighet, spenst, og litt lek)",01:30,,
onsdag,24.september,Idrettspesefik basis,01:30,Hvile,00:00,,
torsdag,25.september,Styrke basis,01:30,Terrengløp Asker Sk,01:30,,
fredag,26.september,,,Hurtighet skate,01:30,,
lørdag,27.september,Langtur klassisk,03:00,Rolig skate,01:30,,
søndag,28.september,Intervall 5x6min i3/terskel løp,01:30,Klassisk + 3x styrke,01:30,,
,,,,,,,
mandag,29.september,Langtur løp,02:30,,,,
tirsdag,30.september,Hvile,00:00,,,"Dobbel hvile, nullstille kroppen etter samling og en periode med mange konkurranser",
onsdag,1.oktober,Hvile,00:00,,,,
torsdag,2.oktober,Styrke,01:15,,,,
fredag,3.oktober,Intervall 5x6min i3/terskel klassisk,01:30,,,,
lørdag,4.oktober,Langtur skate eller sykkel,03:00,,,"To langturer, tid et sted mellom 2-3t, du kan velge. Viktig å holde lav intensitet (i1)",
søndag,5.oktober,Langtur løp m/spenst til slutt,02:30,,,,"10,75t"
,,,,,,,
mandag,6.oktober,,,Hvile,00:00,,
tirsdag,7.oktober,Koordinasjon og basis styrke,1:15,Intervall 4/5x7min i3/terskel skate,01:30,"Forholdsvis lange drag, så viktig å ha kontroll fra start av",
onsdag,8.oktober,Rulleski klassisk teknikk,1:15,Styrke,01:15,,
torsdag,9.oktober,,,Hurtighet + teknikk klassisk,01:30,,
fredag,10.oktober,,,Hvile,00:00,,
lørdag,11.oktober,Langtur løp m/langkjøringsgruppa,02:30,,,"Blir bollestopp underveis, så ta med penger. Fokus på å holde seg mest mulig i i1",
søndag,12.oktober,Intervall 4x5min i4 løp,01:15,,,"Skal kunne holde et høyt tempo, men spar på det aller siste giret",8t + skole
,,,,,,,
mandag,13.oktober,,,Hvile,00:00,,
tirsdag,14.oktober,Rolig løpetur,1:15,Hurtighet & spenst + Asker Sk Stafetten løp,01:30,,
onsdag,15.oktober,Rulleski skate teknikk (+ 5 stigningsdrag),1:15,,,Kjør 5 stigningsdrag eller hurtighetsdrag,
torsdag,16.oktober,,,Motbakkeløp,01:45,,
fredag,17.oktober,,,Hvile,00:00,,
lørdag,18.oktober,Distanseøkt skate,01:30,,,,
søndag,19.oktober,Sprintøkt klassisk,02:00,,,,"6,75t + skole"
,,,,,,,
mandag,20.oktober,,,Løp m/spenst til slutt,00:45,"Ser an skoleprogram, mtp kveldsøkt eller ikke",
tirsdag,21.oktober,Trappeløp,1:15,Teknikk skate,01:30,,
onsdag,22.oktober,Rulleski skate,1:15,,,"Huske å ta det ekstra rolig alle dager før intervall, slik at man sikrer at intervallen blir best mulig",
torsdag,23.oktober,,,Intervall 5x6min i3/terskel klassisk,01:30,"Viktig med kontroll hele veien, etter en hard helg",
fredag,24.oktober,,,Styrke,01:15,,
lørdag,25.oktober,Hvile,00:00,,,,
søndag,26.oktober,Intervall 5x4min i4 løp,01:15,,,,"6,25t + skole"
,,,,,,,
mandag,27.oktober,,,Klassisk,01:00,,
tirsdag,28.oktober,,,Felthurtighet skate,01:30,,
onsdag,29.oktober,,,,,,
torsdag,30.oktober,,,Intervall 5/6x3min i5 hufs løping/m staver,01:30,"Viktig å åpne med en viss kontroll, slik at man klarer å løpe siste draget også",
fredag,31.oktober,,,Styrke,01:15,,
lørdag,1.november,Hvile,00:00,,,,
søndag,2.november,Intervall 3x6min i3 + 3x4min i4 valgfri stilart/løp,01:30,,,"Husk å skill godt på intensiteten. Første tre veldig kontrollerte (6min), siste tre økes farten (4min)",
,,,,,,,
mandag,3.november,Økt med NTG-U,01:30,,,,
tirsdag,4.november,Kordinasjon og basis styrke,01:30,Intervall (4min + 6min (45/15))x3 i4/i5 hufs m/staver,01:30,"Første 3-4 dragene må være i i4, deretter kan man øke farten og bevege seg inn i i5",
onsdag,5.november,Rulleski klassisk,01:30,Styrke,01:00,,
torsdag,6.november,Økt med NTG-U,01:30,Hurtighet & Spenst løp,01:30,,
fredag,7.november,Økt med NTG-U,01:30,Klassisk,00:45,,
lørdag,8.november,Intervall skate 5x4min i4,01:15,,,"Hard intervall både i forkant og etterkant av denne, så legg deg mot det lavere siktet i4",
søndag,9.november,Hvile,00:00,,,,
,,,,,,,
mandag,10.november,Økt med NTG-U,01:30,,,,
tirsdag,11.november,Økt med NTG-U,01:30,Intervall HYROX i5,01:30,,
onsdag,12.november,Økt med NTG-U,01:30,Hvile,00:00,,
torsdag,13.november,Økt med NTG-U,01:30,Hurtighet løp,01:30,,
fredag,14.november,Økt med NTG-U,01:30,Hvile,00:00,,
lørdag,15.november,Langtur klassisk,02:30,,,"To lengre turer denne helgen, så sørg for at du holder et lavt i1-tempo",
søndag,16.november,Langtur løp,02:30,,,,
,,,,,,,
mandag,17.november,Økt med NTG-U,01:30,Intervall skate 4-4-3-3-2-2-1-1min i5,01:15,"Første 4-min dragene må ha en viss kontroll midt/høy i4, om mulig gjerne kjør på Konnerud eller Kollen (mindre blader)",
tirsdag,18.november,Økt med NTG-U,01:30,Hurtighet & Spenst løp,01:30,,
onsdag,19.november,Økt med NTG-U,01:30,,,,
torsdag,20.november,Økt med NTG-U,01:30,Intervall 3x6min i3 + 3x4min i4 løp,01:30,"Todelt intervall, første del veldig kontrollert, deretter lov å skru opp tempo litt",
fredag,21.november,Økt med NTG-U,01:30,Styrke,01:00,,
lørdag,22.november,Hvile,00:00,,,,
søndag,23.november,Intervall klassisk eller løp 4x5min i4,01:15,,,"Prøv å hold pulsen stabilt i i4, og ikke bli overivrig",
,,,,,,,
mandag,24.november,Økt med NTG-U,01:30,Hvile,00:00,,
tirsdag,25.november,Økt med NTG-U,01:30,Hurtighet løp,01:30,,
onsdag,26.november,Økt med NTG-U,01:30,Hvile,00:00,,
torsdag,27.november,Økt med NTG-U,01:30,Intervall 6x2min i5 løp m/staver,01:30,"Beinhard økt, i dag er det lov å ta i det man har. Hold likvel et lite knepp igjen første 2 dragene",
fredag,28.november,Økt med NTG-U,01:30,Rolig tilvenningsøkt Trysil,01:30,,
lørdag,29.november,Langtur skate m/teknikk og hurtighet Trysil,02:30,Teknikk klassisk Trysil,01:30,,
søndag,30.november,Intervall skate 5x6min i3/terskel Trysil,01:30,,,Intervall for å komme inn i det tekniske. Viktig at man ikke går for fort.,
,,,,,,,
mandag,1.desember,Økt med NTG-U,01:30,Hvile,00:00,,
tirsdag,2.desember,Økt med NTG-U,01:30,Styrke overkropp,00:45,,
onsdag,3.desember,Økt med NTG-U,01:30,Intervall skate 5x4min i4,01:30,"Dønn kontroll. Mange i5 økter i denne perioden, så hold igjen på siste giret i dag",
torsdag,4.desember,Økt med NTG-U,01:30,Hurtighet klassisk,01:30,"Samle overskudd frem mot Hakadal, så sørg for at øktene fremover ikke blir lenger enn planlagt og hold riktig intensitet",
fredag,5.desember,Økt med NTG-U,01:30,,,,
lørdag,6.desember,Intervall klassisk 5x3min i5 (4min i3 oppvarmingsdrag),01:15,,,"Kjør et oppvarmingsdrag først, deretter er det bare å gi gass. Prøv å hold en viss progresjon fra lav i5 til høy i5",
søndag,7.desember,Hvile,00:00,,,,
,,,,,,,
mandag,8.desember,Økt med NTG-U,01:30,"Styrke, lett eksplosiv",01:15,"Skal være relativt rolig, bruker du vekter så gå ned 5-10kg og kjør øvelsene veldig eksplosivt. Økten er mer ment for å vekke musklene, enn å bli støl og sliten.",
tirsdag,9.desember,Økt med NTG-U,01:30,Klassisk (ikke vits om det var førbart på skolen),00:45,,
onsdag,10.desember,Økt med NTG-U,01:30,Intervall skate 4x4min i4 + 3x2min i5,01:30,"Veldig viktig at de første fire dragene er med ""bremsen"" på, kun siste tre 2-minuttersdragene som er bånn gass",
torsdag,11.desember,Økt med NTG-U,01:30,"Basisferdigheter (svinger, utfor, balanse) klassisk",01:30,,
fredag,12.desember,Økt med NTG-U,01:30,Rennforberedende skate,01:00,"Kjør de forberedelsene du er trygg på. Noen varianter: 5 stigningsdrag (ca 30sek), 5 hurtighetsdrag, 3x2min i4",
lørdag,13.desember,Hakadalsrennet fristil,01:30,,,Masse lykke til! Veldig viktig å holde fokus på de tekniske oppgavene og ikke stresse. Da man går raskest :-),
søndag,14.desember,Konnerudrennet klassisk,01:30,,,,
,,,,,,,
