Dag,Dato,Hva økt 1,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
lørdag,2.august,Hvile,00:00,,
søndag,3.august,?,,,"6,5t"
,,,,,
mandag,4.august,Løp,01:15,,
tirsdag,5.august,Intervall skate 5-6-7-6-5min i3/terskel,01:30,,
onsdag,6.august,Valgfri: klassisk eller hvile,01:00,,
torsdag,7.august,Sykkeltur,,,
fredag,8.august,Sykkeltur,,,
lørdag,9.august,Hvile,00:00,,
søndag,10.august,Intervall klassisk 6-6-5-5-4-4min i3/i4,01:30,Hvis du ønsker kan du skru opp tempoet på de siste to dragene,
,,,,,
mandag,11.august,Styrke,01:00,,
tirsdag,12.august,Klassisk,00:45,,
onsdag,13.august,Intervall løp 5x1000m (evt 6x2min) i5,01:15,Gjerne løp et flatt strekke langs sjøen eller på friidrettsbane. Åpne med nok kontroll første og andre drag,
torsdag,14.august,Hvile,00:00,,
fredag,15.august,Valgfri: klassisk eller hvile,01:00,,
lørdag,16.august,Langtur skate,02:00,Gjerne gå to perider på 5min uten staver,
søndag,17.august,Intervall skate 4/5x7min i3/terskel,01:30,"Ganske lange drag, så ta å se om det holder med 4stk. Om kroppen er veldig bra må du gjerne ta 5.","8,75t"
,,,,,
mandag,18.august,TG3 - Klassisk,01:30,,
tirsdag,19.august,Hvile,00:00,Kor,
onsdag,20.august,Klassisk,01:15,,
torsdag,21.august,Intervall 4/5x6min i3/terskel løp,01:30,"Kan fint kjøre 4 drag om man må spare kroppen litt til søndagen, ta å kjenn etter underveis",
fredag,22.august,Styrke,01:15,,
lørdag,23.august,Rennforberedende skate,01:00,,
søndag,24.august,Sørlisprinten skate?,02:00,Reiser kanskje bort denne helgen,"8,5t"
,,,,,
mandag,25.august,Sykkel,01:30,,
tirsdag,26.august,Hvile,00:00,Kor,
onsdag,27.august,Klassisk m/6 stigningsdrag,01:00,,
torsdag,28.august,Motbakkeløp,01:45,,
fredag,29.august,Skate,00:45,,
lørdag,30.august,Sprintøkt klassisk,02:00,,
søndag,31.august,Styrke,01:15,,"8,25t"
,,,,,
mandag,1.september,Klassisk,01:30,,
tirsdag,2.september,Hvile,00:00,Kor,
onsdag,3.september,Intervall 5x6min i3/terskel skate,01:30,"To harde konkurranse i det siste, så viktig at denne ikke blir alt for hard",
torsdag,4.september,Felthurtighet skate,01:30,,
fredag,5.september,Styrke,01:15,,
lørdag,6.september,Hvile,00:00,Konfirmasjon,
søndag,7.september,Hvile,00:00,,"5,75t"
,,,,,
mandag,8.september,Intervall 4x5min i3/terskel klassisk,01:15,"Kort i3-intervall, hold igjen litt på gassen og unngå syre.",
tirsdag,9.september,Hvile,00:00,Kor,
onsdag,10.september,Sykkel,01:00,,
torsdag,11.september,Askerspurten 5km,01:30,,
fredag,12.september,Skate,01:00,,
lørdag,13.september,Forflyttingssamling dag 1,05:00,"Blir store mengder trening og tung belastning på kroppen, da er det veldig viktig å holde intensiteten lav hele dagen.",
søndag,14.september,Forflyttingssamling dag 2,05:00,,"14,75t"
,,,,,
mandag,15.september,Styrke,01:15,,
tirsdag,16.september,Hvile,00:00,Kor,
onsdag,17.september,Intervall 4x6min i3/terskel klassisk,01:15,,
torsdag,18.september,Teknikk klassisk,01:30,,
fredag,19.september,Lett jogg,00:45,,
lørdag,20.september,Oslo Marathon 10km,01:30,,
søndag,21.september,Hvile,00:00,Konfirmasjon,"6,25t"
,,,,,
mandag,22.september,Styrke,01:15,,
tirsdag,23.september,Hvile,00:00,Kor,
onsdag,24.september,Skate,01:00,,
torsdag,25.september,Terrengløp Asker Sk,01:30,,
fredag,26.september,Hurtighet skate,01:30,,
lørdag,27.september,Langtur klassisk + rolig skate,04:00,,
søndag,28.september,Intervall 5x6min i3 løp + rolig klassisk,03:00,,
,,,,,
mandag,29.september,Langtur løp,02:30,,
tirsdag,30.september,Hvile,00:00,"Dobbel hvile, nullstille kroppen etter samling og en periode med mange konkurranser",
onsdag,1.oktober,Hvile,00:00,,
torsdag,2.oktober,Styrke,01:15,,
fredag,3.oktober,Løp,01:15,,
lørdag,4.oktober,Intervall 5x6min i3/terskel løp,01:30,,
søndag,5.oktober,Hvile,00:00,,"6,5t"
,,,,,
mandag,6.oktober,Styrke,01:15,,
tirsdag,7.oktober,Hvile,00:00,,
onsdag,8.oktober,Intervall 5-6-7-6-5min i3/terskel skate,01:30,,
torsdag,9.oktober,Hurtighet + teknikk klassisk,01:30,,
fredag,10.oktober,Skate,01:15,,
lørdag,11.oktober,Intervall 4/5x5min i4 løp,01:15,"Skal kunne holde et høyt tempo, men spar på det aller siste giret",
søndag,12.oktober,Jentesamling,03:00,,"9,75t"
,,,,,
mandag,13.oktober,Styrke,01:15,,
tirsdag,14.oktober,Hvile,00:00,,
onsdag,15.oktober,Rennforberedende klassisk,01:00,Kjør 5 stigningsdrag eller hurtighetsdrag,
torsdag,16.oktober,Motbakkeløp,01:45,,
fredag,17.oktober,Sykkel,00:45,,
lørdag,18.oktober,Distanseøkt skate,01:30,,
søndag,19.oktober,Sprintøkt klassisk,02:00,,"8,25t"
,,,,,
mandag,20.oktober,Styrke,01:15,,
tirsdag,21.oktober,Hvile,00:00,,
onsdag,22.oktober,Løp m/6 hurtighetsdrag,01:15,,
torsdag,23.oktober,Intervall 5x6min i3/terskel klassisk,01:30,"Viktig at det kjøres kontrollert hele veien, slik at lørdagen også blir med bra kvalitet",
fredag,24.oktober,Skate,00:45,"Huske å ta det ekstra rolig alle dager før intervall, slik at man sikrer at intervallen blir best mulig",
lørdag,25.oktober,Intervall 5-6-7-6-5min i3/terskel løp,01:15,"Dønn kontroll på denne, ikke noe som helst i4",
søndag,26.oktober,Langtur klassisk eller sykkel,02:30,,"8,5t"
,,,,,
mandag,27.oktober,Styrke,01:15,,
tirsdag,28.oktober,Hvile,00:00,,
onsdag,29.oktober,Hurtighet klassisk,01:00,,
torsdag,30.oktober,Intervall 5/6x3min i5 hufs løping/m staver,01:30,"Viktig å åpne med en viss kontroll, slik at man klarer å løpe siste draget også",
fredag,31.oktober,Styrke,01:15,,
lørdag,1.november,Skate,01:45,,
søndag,2.november,Intervall 3x6min i3 + 3x4min i4 valgfri stilart/løp,01:30,"Husk å skill godt på intensiteten. Første tre veldig kontrollerte (6min), siste tre økes farten (4min)",
,,,,,
mandag,3.november,Skate,01:30,,
tirsdag,4.november,Hvile,00:00,,
onsdag,5.november,Intervall løp 3x4min i4 + 4x2min i5,01:15,"Viktig å skille på tempo, første 3 dragene må tas med litt kontroll, siste 4 (2-minutterne) tar man ut det man har",
torsdag,6.november,Hurtighet & Spenst løp,01:30,,
fredag,7.november,Styrke,01:15,,
lørdag,8.november,Intervall skate 5x4min i4,01:15,"Prøv å hold pulsen stabilt i i4, og ikke bli overivrig",
søndag,9.november,Langtur klassisk,02:30,,
,,,,,
mandag,10.november,Løp,01:30,,
tirsdag,11.november,Hvile,00:00,,
onsdag,12.november,Styrke,01:15,,
torsdag,13.november,Løp,00:45,,
fredag,14.november,Intervall løp 5x6min i3/terskel,01:30,"Skal være ren i3 på klokka i dag. Unngå i4, da det ellers kommer mange harde intervaller de neste ukene",
lørdag,15.november,Langtur klassisk,02:30,,
søndag,16.november,Løp,01:30,"Husk å holde dagene før intervall rolig i1, unngå i2",
,,,,,
mandag,17.november,Intervall skate 4-4-3-3-2-2-1-1min i5,01:15,"Første 4-min dragene må ha en viss kontroll midt/høy i4, om mulig gjerne kjør på rulleskistadio (mindre blader)",
tirsdag,18.november,Hvile,00:00,,
onsdag,19.november,Hurtighet klassisk,01:15,,
torsdag,20.november,Intervall 3x6min i3 + 3x4min i4 løp,01:30,"Todelt intervall, første del veldig kontrollert, deretter lov å skru opp tempo litt",
fredag,21.november,Styrke,01:15,,
lørdag,22.november,Skate,01:30,,
søndag,23.november,Intervall klassisk eller løp 4x5min i4,01:15,"Prøv å hold pulsen stabilt i i4, og ikke bli overivrig",
,,,,,
mandag,24.november,Styrke,01:15,,
tirsdag,25.november,Hvile,00:00,,
onsdag,26.november,Klassisk,01:00,,
torsdag,27.november,Intervall 6x2min i5 løp m/staver,01:30,"Beinhard økt, i dag er det lov å ta i det man har. Hold likvel et lite knepp igjen første 2 dragene",
fredag,28.november,Styrke,01:15,,
lørdag,29.november,Hurtighet løp,01:30,,
søndag,30.november,Intervall skate 5x6min i3/terskel,01:30,Intervall for å komme inn i det tekniske. Viktig at man ikke går for fort.,
,,,,,
mandag,1.desember,Styrke,01:15,,
tirsdag,2.desember,Hvile,00:00,,
onsdag,3.desember,Intervall skate 5x4min i4,01:30,"Dønn kontroll. Mange i5 økter i denne perioden, så hold igjen på siste giret i dag",
torsdag,4.desember,Hurtighet klassisk,01:30,,
fredag,5.desember,Skate,01:00,"Samle overskudd frem mot Hakadal, så sørg for at øktene fremover ikke blir lenger enn planlagt og hold riktig intensitet",
lørdag,6.desember,Intervall klassisk 5x3min i5 (4min i3 oppvarmingsdrag),01:15,"Kjør et oppvarmingsdrag først, deretter er det bare å gi gass. Prøv å hold en viss progresjon fra lav i5 til høy i5",
søndag,7.desember,Skate,01:45,,
,,,,,
mandag,8.desember,"Styrke, lett eksplosiv",01:15,"Skal være relativt rolig, bruker du vekter så gå ned 5-10kg og kjør øvelsene veldig eksplosivt. Økten er mer ment for å vekke musklene, enn å bli støl og sliten.",
tirsdag,9.desember,Hvile,00:00,,
onsdag,10.desember,Intervall skate 4x4min i4 + 3x2min i5,01:30,"Veldig viktig at de første fire dragene er med ""bremsen"" på, kun siste tre 2-minuttersdragene som er bånn gass",
torsdag,11.desember,"Basisferdigheter (svinger, utfor, balanse) klassisk",01:30,,
fredag,12.desember,Rennforberedende skate,01:00,"Kjør de forberedelsene du er trygg på. Noen varianter: 5 stigningsdrag (ca 30sek), 5 hurtighetsdrag, 3x2min i4",
lørdag,13.desember,Hakadalsrennet fristil,01:30,Masse lykke til! Veldig viktig å holde fokus på de tekniske oppgavene og ikke stresse. Da man går raskest :-),
søndag,14.desember,Konnerudrennet klassisk,01:30,,
,,,,,
