Dag,Dato,Hva økt 1,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
mandag,30.juni,Hurtighet klassisk,01:30,,
tirsdag,1.juli,Intervall 5x4min løp i4,01:15,"Skal kunne gå relativt fort, men hold igjen på det aller siste giret. Viktig å klare disponering på i4-intervaller også",
onsdag,2.juli,Langtur skate,02:30,Gjerne gå to perioder på 5min uten staver i løpet av økta,
torsdag,3.juli,Valgfri: klassisk eller hvile,01:30,,
fredag,4.juli,Intervall 6-7-8-7-6min klassisk i3/terskel,01:30,"Lange drag, så viktig å ha kontroll hele veien. Gjerne gi en tilbakemeldig i etterkant om 7 og 8min blir for lenge",
lørdag,5.juli,Styrke,01:15,,
søndag,6.juli,Hvile,00:00,,"9,5t"
,,,,,
mandag,7.juli,Intervall 4/5x5min løp i4,01:15,Prøve å holde jevn fart på alle drag. Er kroppen bra og du treffer med åpningsfart kan du vurdere 5stk,
tirsdag,8.juli,Langtur klassisk,02:30,Gjerne gå to perioder på 5min uten staver i løpet av økta,
onsdag,9.juli,Hurtighet skate,01:15,,
torsdag,10.juli,Intervall skate 5x6min i3/terskel,01:30,,
fredag,11.juli,Hvile,00:00,Hellas,
lørdag,12.juli,Styrke,01:15,Kjør styrkeprogrammet som er for uten vekter,
søndag,13.juli,Valgfri: løp eller hvile,01:00,"Ikke noe problem å ta hvile her, om du ønsker det","8,75t"
,,,,,
mandag,14.juli,Intervall 5x4min løp i4,01:15,"Hvis man vil ha økten enda mer effektiv kan du kjøre 20-25min oppvarming, og kutte ut nedjogg.",
tirsdag,15.juli,Styrke,01:15,,
onsdag,16.juli,Hvile,00:00,,
torsdag,17.juli,Intervall 5x3min løp i5,01:15,Gjerne finn en motbakke og bruk den. Pause mellom 2-3min evt pause å løpe ned til bunn igjen.,
fredag,18.juli,Valgfri: løp eller hvile,00:45,Hellas,
lørdag,19.juli,Hurtighet skate,01:30,,
søndag,20.juli,Intervall 4/5x7min klassisk i3/terskel,01:30,"Hvis du synes 7min blir for lenge, kan du vurdere en annen variant (eks 5-6-7-6-5min)","7,5t"
,,,,,
mandag,21.juli,Valgfri: løp eller hvile,01:00,"Stryntur, en av dagene lang fjelltur hvor annen trening utgår",
tirsdag,22.juli,Fjelltur,04:00,Stryn,
onsdag,23.juli,Intervall skate 3-4-5-4-3min i4,01:15,Kan anbefale rulleskiløypa på Ullsheim skistadion,
torsdag,24.juli,Styrke,01:15,Stryn,
fredag,25.juli,Hvile,00:00,,
lørdag,26.juli,Intervall løp 5x6min i3/terskel,01:30,"Prøve å ligge kontrollert i i3, ikke bli for ivrig",
søndag,27.juli,Hurtighet klassisk,01:30,,"10,5t"
,,,,,
mandag,28.juli,Løp,01:30,,
tirsdag,29.juli,Intervall klassisk 4x5min i4,01:15,Åpne kontrollert nok på første og kanskje andre draget for å ha nok å gi hele veien,
onsdag,30.juli,Styrke,01:15,,
torsdag,31.juli,Valgfri: hurtighet løp eller hvile,01:15,,
fredag,1.august,Intervall skate 5-6-7-6-5min i3/terskel,01:30,"Hold alt i i3, selv om dragene varierer i tid",
lørdag,2.august,Hvile,00:00,,
søndag,3.august,Langtur klassisk,02:30,"Et sted mellom 2t - 3t er bra. Du kan selv velge hvor lenge du ønsker å gå, men helst minimum 2t","9,25t"
,,,,,
mandag,4.august,Skate,01:30,,
tirsdag,5.august,Intervall løp 5x4min i4,01:15,Hvis du ønsker kan du gi på litt ekstra mot slutten i dag (i5),
onsdag,6.august,Styrke,01:15,,
torsdag,7.august,Valgfri: løp eller hvile,01:00,,
fredag,8.august,Intervall klassisk 4/5x7min i3/terskel,01:30,"Ganske lange drag, så ta å se om det holder med 4stk. Om kroppen er veldig bra må du gjerne ta 5.",
lørdag,9.august,Hurtiget skate,01:30,,
søndag,10.august,Hvile,00:00,,"8,5t"
,,,,,
mandag,11.august,Trysil sommerskiskole,,Trysil sommerskiskole,
tirsdag,12.august,,,Trysil sommerskiskole,
onsdag,13.august,,,Trysil sommerskiskole,
torsdag,14.august,,,Trysil sommerskiskole,
fredag,15.august,,,Trysil sommerskiskole,
lørdag,16.august,Hvile,00:00,,
søndag,17.august,Hvile,00:00,,
,,,,,
mandag,18.august,Styrke m/Asker skiklubb ,01:15,,
tirsdag,19.august,Hurtighet løp,01:30,,
onsdag,20.august,TG5 - Klassisk,01:30,,
torsdag,21.august,Intervall 4x6min i3/terskel klassisk,01:30,"Kjør denne på egenhånd, husk å ha god kontroll og unngå syre",
fredag,22.august,Hvile,00:00,,
lørdag,23.august,Valgfri: Rennforberedende skate eller hvile,01:00,6 hurtighet- eller stigningsdrag ila økten,
søndag,24.august,Sørlisprinten skate,02:00,Prøve å være tøff og ta sin plass i feltet,"8,75t"
,,,,,
mandag,25.august,Styrke m/Asker skiklubb ,01:15,,
tirsdag,26.august,Teknikk skate (strikk og øvelser),01:30,,
onsdag,27.august,Klassisk,01:00,,
torsdag,28.august,Motbakkeløp,01:45,Mulig det er lurt å droppe denne mtp leggen/bena,
fredag,29.august,Hvile,00:00,,
lørdag,30.august,Sprintøkt klassisk,02:00,,
søndag,31.august,Valgfri: Skate eller hvile,01:30,,9t
,,,,,
mandag,1.september,Styrke m/Asker skiklubb ,01:15,,
tirsdag,2.september,Vestmarka opp klassisk,01:30,,
onsdag,3.september,Valgfri: Sykkel eller hvile,01:15,,
torsdag,4.september,Felthurtighet skate,01:30,,
fredag,5.september,Hvile,00:00,,
lørdag,6.september,Gjelleråsbakken opp klassisk,01:30,,
søndag,7.september,Langtur skate eller sykkel,02:00,Sørg for å holde pulsen lav (i1),9t
,,,,,
mandag,8.september,Styrke m/Asker skiklubb ,01:15,,
tirsdag,9.september,Intervall 7-6-5-6-7min i3/terskel skate,01:30,"Vært mye hardt i det siste, så viktig å holde seg i i3 og ikke bygge noe syre i bena",
onsdag,10.september,Valgfri: Sykkel eller hvile,01:15,,
torsdag,11.september,Hurtighet klassisk,01:30,,
fredag,12.september,Hvile,00:00,,
lørdag,13.september,Forflyttingssamling dag 1,05:00,"Blir store mengder trening og tung belastning på kroppen, da er det veldig viktig å holde intensiteten lav hele dagen.",
søndag,14.september,Forflyttingssamling dag 2,05:00,,"15,5t"
,,,,,
mandag,15.september,Styrke m/Asker skiklubb ,01:15,,
tirsdag,16.september,Hurtighet løp,01:30,"Se an om du bør kjøre denne på rulleski alene, eller om bena er klare for hurtighet",
onsdag,17.september,Valgfri: Skate eller hvile,01:15,,
torsdag,18.september,Teknikk klassisk,01:30,,
fredag,19.september,Hvile,00:00,,
lørdag,20.september,Oslo Marathon 10km,01:30,,
søndag,21.september,Rælingenrennet skate,01:30,,"9,25t"
,,,,,
mandag,22.september,Styrke m/Asker skiklubb ,01:15,,
tirsdag,23.september,"Lett (Hurtighet, spenst, og litt lek)",01:30,,
onsdag,24.september,Intervall 5x5min i3/terskel klassisk,01:30,,
torsdag,25.september,Hvile,00:00,,
fredag,26.september,Hurtighet skate,01:30,,
lørdag,27.september,Langtur klassisk + rolig skate,04:00,,
søndag,28.september,Intervall løp i3 + rolig klassisk,03:00,,
,,,,,
mandag,29.september,Langtur løp,02:30,,
tirsdag,30.september,Hvile,00:00,Reiser til Antibes frem til lørdag 4/10. Ikke rulleski disse dagene. Løpeøkter er ok (har i utgangspunktet tenkt daglige løpeturer) ,
onsdag,1.oktober,Løp,00:30,Antibes,
torsdag,2.oktober,Løp,00:45,Antibes,
fredag,3.oktober,Valgfri: Styrke,00:45,Antibes,
lørdag,4.oktober,Hvile,00:00,Antibes,
søndag,5.oktober,Skate,01:45,,"6,25t"
,,,,,
mandag,6.oktober,Styrke m/Asker Sk,01:15,,
tirsdag,7.oktober,Intervall 4/5x7min i3/terskel skate,01:30,"Forholdsvis lange drag, så viktig å ha kontroll fra start av",
onsdag,8.oktober,Valgfri: skate/sykkel eller hvile,01:00,,
torsdag,9.oktober,Hurtighet + teknikk klassisk,01:30,,
fredag,10.oktober,Hvile,00:00,"Hafjelltur med familien, usikker på om rulleski kan medbringes",
lørdag,11.oktober,Intervall 4x4min i4 løp,01:15,"Skal kunne holde et høyt tempo, men spar på det aller siste giret",
søndag,12.oktober,Langtur løp / Fjelltur,02:30,Hafjelltur med familien,9t
,,,,,
mandag,13.oktober,Styrke m/Asker Sk,01:15,,
tirsdag,14.oktober,Hurtighet & spenst + Asker Sk Stafetten løp,01:30,,
onsdag,15.oktober,Rennforberedende klassisk,01:00,Kjør 5 stigningsdrag eller hurtighetsdrag,
torsdag,16.oktober,Motbakkeløp,01:45,,
fredag,17.oktober,Hvile,00:00,,
lørdag,18.oktober,Distanseøkt skate,01:30,,
søndag,19.oktober,Sprintøkt klassisk,02:00,,9t
,,,,,
mandag,20.oktober,Styrke m/Asker Sk,01:15,,
tirsdag,21.oktober,Teknikk skate,01:30,,
onsdag,22.oktober,Valgfri: Hurtighet løp eller hvile,01:00,"Huske å ta det ekstra rolig alle dager før intervall, slik at man sikrer at intervallen blir best mulig",
torsdag,23.oktober,Intervall 5x6min i3/terskel klassisk,01:30,"Viktig med kontroll hele veien, etter en hard helg",
fredag,24.oktober,Hvile,00:00,,
lørdag,25.oktober,Skate,01:45,,
søndag,26.oktober,Intervall 5x4min løp i4,01:15,,"8,25t"
,,,,,
mandag,27.oktober,Styrke m/Asker Sk,01:15,,
tirsdag,28.oktober,Felthurtighet skate,01:30,,
onsdag,29.oktober,Valgfri: Klassisk,01:00,,
torsdag,30.oktober,Intervall 5/6x3min i5 hufs løping/m staver,01:30,"Viktig å åpne med en viss kontroll, slik at man klarer å løpe siste draget også",
fredag,31.oktober,Hvile,00:00,,
lørdag,1.november,Skate,01:45,,
søndag,2.november,Intervall 3x6min i3 + 3x4min i4 valgfri stilart/løp,01:30,"Husk å skill godt på intensiteten. Første tre veldig kontrollerte (6min), siste tre økes farten (4min)",
,,,,,
mandag,3.november,Styrke m/Asker Sk,01:15,,
tirsdag,4.november,Intervall (4min + 6min (45/15))x3 i4/i5 hufs m/staver,01:30,"Første 3-4 dragene må være i i4, deretter kan man øke farten og bevege seg inn i i5",
onsdag,5.november,Skate,01:30,Valgfri: kjør eventuelt hvile,
torsdag,6.november,Hurtighet & Spenst løp,01:30,,
fredag,7.november,Hvile,00:00,,
lørdag,8.november,Intervall skate 5x4min i4,01:15,"Hard intervall både i forkant og etterkant av denne, så legg deg mot det lavere siktet i4",
søndag,9.november,Klassisk,01:45,,
,,,,,
mandag,10.november,Styrke m/Asker Sk,01:15,,
tirsdag,11.november,Intervall HYROX i5,01:30,,
onsdag,12.november,Skate,01:30,Valgfri: kjør eventuelt hvile,
torsdag,13.november,Hurtighet løp,01:30,,
fredag,14.november,Hvile,00:00,,
lørdag,15.november,Intervall klassisk 3x4min i4 + 4x2min i5,01:15,"Viktig å skille på tempo, første 3 dragene må tas med litt kontroll, siste 4 (2-minutterne) tar man ut det man har",
søndag,16.november,Langtur løp,02:30,,
,,,,,
mandag,17.november,Styrke m/Asker Sk,01:15,,
tirsdag,18.november,Hurtighet & Spenst løp,01:30,,
onsdag,19.november,Klassisk,01:15,Valgfri: kjør eventuelt hvile,
torsdag,20.november,Intervall 3x6min i3 + 3x4min i4 løp,01:30,"Todelt intervall, første del veldig kontrollert, deretter lov å skru opp tempo litt",
fredag,21.november,Hvile,00:00,,
lørdag,22.november,Skate,01:30,Husk å hold dagene før intervaller rolig (i1),
søndag,23.november,Intervall klassisk eller løp 4x5min i4,01:15,"Prøv å hold pulsen stabilt i i4, og ikke bli overivrig",
,,,,,
mandag,24.november,Styrke m/Asker Sk,01:15,,
tirsdag,25.november,Hurtighet løp,01:30,,
onsdag,26.november,Hvile,00:00,,
torsdag,27.november,Intervall 6x2min i5 løp m/staver,01:30,"Beinhard økt, i dag er det lov å ta i det man har. Hold likvel et lite knepp igjen første 2 dragene",
fredag,28.november,Tilvenningsøkt klassisk Trysil,01:30,,
lørdag,29.november,Teknikk: Langtur skate + klassisk Trysil,04:00,,
søndag,30.november,Intervall skate 5x6min i3/terskel Trysil,01:30,Intervall for å komme inn i det tekniske. Viktig at man ikke går for fort.,
,,,,,
mandag,1.desember,Styrke m/Asker Sk,01:15,,
tirsdag,2.desember,Hvile,00:00,,
onsdag,3.desember,Intervall skate 5x4min i4,01:30,"Dønn kontroll. Mange i5 økter i denne perioden, så hold igjen på siste giret i dag",
torsdag,4.desember,Hurtighet klassisk,01:30,"Samle overskudd frem mot Hakadal, så sørg for at øktene fremover ikke blir lenger enn planlagt og hold riktig intensitet",
fredag,5.desember,Skate,01:00,Valgfri: kjør eventuelt hvile,
lørdag,6.desember,Intervall klassisk 5x3min i5 (4min i3 oppvarmingsdrag),01:15,"Kjør et oppvarmingsdrag først, deretter er det bare å gi gass. Prøv å hold en viss progresjon fra lav i5 til høy i5",
søndag,7.desember,Skate,01:45,,
,,,,,
mandag,8.desember,Styrke m/Asker Sk,01:15,,
tirsdag,9.desember,Hvile,00:00,,
onsdag,10.desember,Intervall skate 4x4min i4 + 3x2min i5,01:30,"Veldig viktig at de første fire dragene er med ""bremsen"" på, kun siste tre 2-minuttersdragene som er bånn gass",
torsdag,11.desember,Løp,00:45,,
fredag,12.desember,Rennforberedende skate,01:00,"Kjør de forberedelsene du er trygg på. Noen varianter: 5 stigningsdrag (ca 30sek), 5 hurtighetsdrag, 3x2min i4",
lørdag,13.desember,Hakadalsrennet fristil,01:30,Masse lykke til! Veldig viktig å holde fokus på de tekniske oppgavene og ikke stresse. Da man går raskest :-),
søndag,14.desember,Konnerudrennet klassisk,01:30,,

,,,,,
