Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
tirsdag,1.juli,Intervall løp 3-4-5-4-3min i4,01:15,Styrke,01:15,"Hold samme tempo/puls på alle drag, selv på 3-minutterne",
onsdag,2.juli,Langtur skate,03:00,,,Gjerne gå to perioder på 5min uten staver i løpet av økta,
torsdag,3.juli,Klassisk,01:15,,,,
fredag,4.juli,Intervall skate 4/5x8min i3/terskel,01:30,Styrke,01:15,"Heller åpne første to dragene for rolig, enn for hardt. Veldig lang intervall, så denne MÅ være kontrollert",
lørdag,5.juli,Hvile,00:00,,,,
søndag,6.juli,Hurtighet løp,01:30,,,"Helst flatt eller oppover, unngå hurtighet i nedover","12,5t"
,,,,,,,
mandag,7.juli,Intervall klassisk 5x4min i4,01:15,Styrke,01:15,"Tre intervaller denne uken, så viktig at man er god på å styre intensiteten riktig på alle de tre øktene",
tirsdag,8.juli,Langtur klassisk,02:30,,,Gjerne gå to perioder på 5min uten staver i løpet av økta,
onsdag,9.juli,Skate,01:30,,,,
torsdag,10.juli,Intervall løp 5x6min i3/terskel,01:30,,,,
fredag,11.juli,Hvile,00:00,,,,
lørdag,12.juli,Hurtighet klassisk,01:15,,,,
søndag,13.juli,Intervall skate 4/5x5min i4,01:15,Styrke,01:15,"Klink i4, ikke noe over. Du skal få muligheten til å gå litt hardere kommende onsdag","11,75t"
,,,,,,,
mandag,14.juli,Langtur sykkel,02:30,,,,
tirsdag,15.juli,Skate,01:15,,,,
onsdag,16.juli,Intervall løp 5-5-4-4-3-3min i4,01:15,Styrke,01:15,"Ta de første fire dragene i i4, siste 3-minutterne kan man skru opp tempoet til i5 om man ønsker",
torsdag,17.juli,Langtur skate,03:00,,,Rolig tempo,
fredag,18.juli,Hurtighet klassisk,01:30,,,,
lørdag,19.juli,Intervall klassisk 5x7min i3/terskel,01:30,Styrke,01:15,"Holde kontroll, ikke la seg friste av å gå for fort",
søndag,20.juli,Hvile,00:00,,,,"13,5t"
,,,,,,,
mandag,21.juli,Hurtighet klassisk,01:30,,,,
tirsdag,22.juli,Intervall skate 5/6x4min i4,01:15,Styrke,01:15,Ta å se an dagsform og åpningsfart om du skal ta 5 eller 6 drag,
onsdag,23.juli,Langtur løp,02:30,,,Gjerne gå to perider på 5min uten staver,
torsdag,24.juli,Klassisk,01:30,,,Husk å hold dagene før intervall rolig nok,
fredag,25.juli,Intervall løp 6-7-8-7-6min i3/terskel,01:30,Styrke,01:15,"Prøv å holde jevn fart på alle drag, unngå syra.",
lørdag,26.juli,Sykkel,02:00,,,,
søndag,27.juli,Hvile,00:00,,,,"12,75t"
,,,,,,,
mandag,28.juli,Intervall klassisk 4/5x5min i4,01:15,Styrke,01:15,Husk å hold igjen det aller siste giret. Skal likevel gå fort :-),
tirsdag,29.juli,Langtur klassisk,02:30,,,Gjerne gå to perider på 5min uten staver,
onsdag,30.juli,Skate,01:15,,,,
torsdag,31.juli,Intervall løp 5x6min i3/terskel,01:30,Styrke,01:15,Ha kontroll hele veien,
fredag,1.august,Hurtighet skate,01:30,,,,
lørdag,2.august,Sykkel,01:30,,,,
søndag,3.august,Hvile,00:00,,,,12t
,,,,,,,
mandag,4.august,Trysil sommerskiskole,,,,,
tirsdag,5.august,,,,,,
onsdag,6.august,,,,,,
torsdag,7.august,,,,,,
fredag,8.august,,,,,,
lørdag,9.august,Hvile,00:00,,,,
søndag,10.august,Valgfri: klassisk eller hvile,01:00,,,Se an om kroppen trenger en eller to hviledager på å komme seg helt etter mye trening,
,,,,,,,
mandag,11.august,Hurtighet løp,01:15,,,,
tirsdag,12.august,Intervall skate 5-6-7-6-5min i3/terskel,01:30,Styrke,01:15,"Hold alt i i3, selv om dragene varierer i tid",
onsdag,13.august,Langtur sykkel,03:00,,,,
torsdag,14.august,Klassisk,01:15,,,,
fredag,15.august,Intervall løp 5/6x1000m i5,01:15,Styrke,01:15,Gjerne løp et flatt strekke langs sjøen eller på friidrettsbane. Åpne med nok kontroll første og andre drag,
lørdag,16.august,Skate,01:45,,,,
søndag,17.august,Hvile,00:00,,,,"12,5t"
,,,,,,,
mandag,18.august,TG3 - klassisk,01:30,,,,
tirsdag,19.august,Hurtighet løp,01:30,,,,
onsdag,20.august,Sykkel,01:15,,,,
torsdag,21.august,Intervall 4/5x6min i3/terskel løp,01:30,,,"Kan fint kjøre 4 drag om man må spare kroppen litt til søndagen, ta å kjenn etter underveis",
fredag,22.august,Hvile,00:00,,,,
lørdag,23.august,Rennforberedende skate,01:15,,,,
søndag,24.august,Sørlisprinten skate,02:00,Styrke,01:15,,"10,25t"
,,,,,,,
mandag,25.august,Hurtighet klassisk,01:30,,,,
tirsdag,26.august,Teknikk skate (strikk og øvelser),01:30,,,,
onsdag,27.august,Sykkel,01:15,,,,
torsdag,28.august,Motbakkeløp,01:45,,,,
fredag,29.august,Klassisk,01:00,,,,
lørdag,30.august,Sykkelbirken,01:30,,,,
søndag,31.august,Hvile,00:00,,,,"8,5t"
,,,,,,,
mandag,1.september,Rennforberedende klassisk,01:15,,,Ukeskommentar: Sørg for at alle rolige økter holde i lav i1. Ønsker ikke å se at øktene utvides i tid. Se an kroppen og om det er fornuftig å være med på alle konkurransene,
tirsdag,2.september,Vestmarka opp klassisk,01:30,,,,
onsdag,3.september,Rolig skate,01:00,,,,
torsdag,4.september,Oslo rulleskicup renn 1,01:30,,,,
fredag,5.september,Rolig sykkel,01:00,,,,
lørdag,6.september,Gjelleråsbakken opp klassisk,01:30,Styrke,01:15,,
søndag,7.september,Hvile,00:00,,,,9t
,,,,,,,
mandag,8.september,Sykkel,01:30,,,,
tirsdag,9.september,Intervall 7-6-5-6-7min i3/terskel skate,01:30,,,,
onsdag,10.september,Styrke,01:15,,,,
torsdag,11.september,Hurtighet klassisk,01:30,,,,
fredag,12.september,Hvile,00:00,,,,
lørdag,13.september,Forflyttingssamling dag 1,05:00,,,"Blir store mengder trening og tung belastning på kroppen, da er det veldig viktig å holde intensiteten lav hele dagen.",
søndag,14.september,Forflyttingssamling dag 2,05:00,,,,16t
,,,,,,,
mandag,15.september,Sykkel,00:45,,,,
tirsdag,16.september,Oslo rulleskicup renn 3,01:30,,,,
onsdag,17.september,Sykkel 30min + Styrke overkropp 45min,01:15,,,,
torsdag,18.september,Teknikk klassisk,01:30,,,,
fredag,19.september,Hvile,00:00,,,,
lørdag,20.september,Oslo Marathon 10km,01:30,,,,
søndag,21.september,Rælingenrennet skate,01:30,,,,8t
,,,,,,,
mandag,22.september,Sykkel 30min + Styrke overkropp 45min,01:15,,,,
tirsdag,23.september,"Lett (Hurtighet, spenst, og litt lek)",01:30,,,,
onsdag,24.september,Klassisk,01:15,,,,
torsdag,25.september,Terrengløp Asker Sk,01:30,,,,
fredag,26.september,Hurtighet skate,01:30,,,,
lørdag,27.september,Langtur klassisk,03:00,Rolig skate,01:30,,
søndag,28.september,Intervall 5/6x6min i3/terskel løp,01:30,Klassisk + 3x styrkestak,01:30,,
,,,,,,,
mandag,29.september,Langtur løp,02:30,,,,
tirsdag,30.september,Hvile,00:00,,,"Dobbel hvile, nullstille kroppen etter samling og en periode med mange konkurranser",
onsdag,1.oktober,Hvile,00:00,,,,
torsdag,2.oktober,Klassisk m/6 hurtighetsdrag,01:15,,,"Vekke kroppen etter to hvile dager, kjør 6 hurtighetsdrag fordelt utover i økten",
fredag,3.oktober,Intervall 5-6-7-6-5min i3/terskel løp,01:30,Styrke,01:15,,
lørdag,4.oktober,Langtur skate eller sykkel,03:00,,,"To langturer, tid et sted mellom 2-3t, du kan velge. Viktig å holde lav intensitet (i1)",
søndag,5.oktober,Langtur løp,02:30,,,,12t
,,,,,,,
mandag,6.oktober,Klassisk,01:15,,,"Huske å ta det ekstra rolig alle dager før intervall, slik at man sikrer at intervallen blir best mulig",
tirsdag,7.oktober,Intervall 4/5x7min i3/terskel skate,01:30,,,"Forholdsvis lange drag, så viktig å ha kontroll fra start av",
onsdag,8.oktober,Styrke,01:15,,,,
torsdag,9.oktober,Hurtighet + teknikk klassisk,01:30,,,,
fredag,10.oktober,Hvile,00:00,,,,
lørdag,11.oktober,Langtur løp m/langkjøringsgruppa,02:30,,,"Blir bollestopp underveis, så ta med penger. Fokus på å holde seg mest mulig i i1",
søndag,12.oktober,Intervall 4/5x5min i4 klassisk,01:15,Styrke,01:15,"Skal kunne holde et høyt tempo, men spar på det aller siste giret","10,5t"
,,,,,,,
mandag,13.oktober,Skate,01:00,,,,
tirsdag,14.oktober,Hurtighet & spenst + Asker Sk Stafetten løp,01:30,,,,
onsdag,15.oktober,Rennforberedende klassisk,01:00,,,Kjør 5 stigningsdrag eller hurtighetsdrag,
torsdag,16.oktober,Motbakkeløp,01:45,,,,
fredag,17.oktober,Hvile,00:00,,,,
lørdag,18.oktober,Distanseøkt skate,01:30,Rolig løp,00:30,Kan teste en kort kveldsjogg her,
søndag,19.oktober,Sprintøkt klassisk,02:00,,,,"9,25t"
,,,,,,,
mandag,20.oktober,Løp,01:15,,,,
tirsdag,21.oktober,Styrke,00:45,Teknikk skate,01:30,,
onsdag,22.oktober,Hurtighet klassisk eller skate,01:15,,,,
torsdag,23.oktober,Intervall 5/6x6min i3/terskel klassisk,01:30,,,"Viktig at det kjøres kontrollert hele veien, slik at lørdagen også blir med bra kvalitet",
fredag,24.oktober,Hvile,00:00,,,,
lørdag,25.oktober,Intervall 5-6-7-6-5min i3/terskel løp,01:15,Styrke,01:15,"Dønn kontroll på denne, ikke noe som helst i4",
søndag,26.oktober,Langtur klassisk eller sykkel,03:00,,,,11t
,,,,,,,
mandag,27.oktober,Løp,00:45,Styrke,01:00,,
tirsdag,28.oktober,Felthurtighet skate,01:30,,,,
onsdag,29.oktober,Klassisk,01:15,,,,
torsdag,30.oktober,Intervall 5/6x3min i5 hufs løping/m staver,01:30,,,"Viktig å åpne med en viss kontroll, slik at man klarer å løpe siste draget også",
fredag,31.oktober,Hvile,00:00,,,,
lørdag,1.november,Skate,01:45,,,,
søndag,2.november,Intervall 3x6min i3 + 3x4min i4 valgfri stilart/løp,01:30,Styrke,01:15,"Husk å skill godt på intensiteten. Første tre veldig kontrollerte (6min), siste tre økes farten (4min)",
,,,,,,,
mandag,3.november,Styrke,01:15,,,"Anbefaler å kjøre med Asker Sk, evt om man legger til noe med vekter i forkant eller etterkant av økten, fokus: overkropp",
tirsdag,4.november,Intervall (4min + 6min (45/15))x3 i4/i5 hufs m/staver,01:30,,,"Første 3-4 dragene må være i i4, deretter kan man øke farten og bevege seg inn i i5",
onsdag,5.november,Klassisk,01:30,,,,
torsdag,6.november,Skierg,00:45,Hurtighet & Spenst løp,01:30,,
fredag,7.november,Hvile,00:00,,,,
lørdag,8.november,Intervall skate 5x4min i4,01:15,Styrke,01:15,"Hard intervall både i forkant og etterkant av denne, så legg deg mot det lavere siktet i4",
søndag,9.november,Langtur klassisk,02:15,,,,"10,25t"
,,,,,,,
mandag,10.november,Skate,01:15,,,"Husk å holde dagene før intervall rolig i1, unngå i2",
tirsdag,11.november,Intervall HYROX i5,01:30,,,,
onsdag,12.november,Styrke,01:15,,,,
torsdag,13.november,Skierg,00:45,Hurtighet løp,01:30,,
fredag,14.november,Intervall løp 5x6min i3/terskel,01:30,,,"Skal være ren i3 på klokka i dag. Unngå i4, da det ellers kommer mange harde intervaller de neste ukene",
lørdag,15.november,Langtur skate eller løp,02:30,,,,
søndag,16.november,Hvile,00:00,,,,10t
,,,,,,,
mandag,17.november,Intervall skate 4-4-3-3-2-2-1-1min i5,01:15,,,"Første 4-min dragene må ha en viss kontroll midt/høy i4, om mulig gjerne kjør på Konnerud eller Kollen (mindre blader)",
tirsdag,18.november,Skierg,00:45,Hurtighet & Spenst løp,01:30,,
onsdag,19.november,Hvile,00:00,,,,
torsdag,20.november,Intervall 3x6min i3 + 3x4min i4 løp,01:30,,,"Todelt intervall, første del veldig kontrollert, deretter lov å skru opp tempo litt",
fredag,21.november,Skate,01:15,,,,
lørdag,22.november,Klassisk,01:30,,,Maks 1t 30min i dag,
søndag,23.november,Intervall klassisk eller løp 4x5min i4,01:15,Styrke,01:15,"Prøv å hold pulsen stabilt i i4, og ikke bli overivrig",10t
,,,,,,,
mandag,24.november,Klassisk,01:30,,,,
tirsdag,25.november,Skierg,00:45,Hurtighet løp,01:30,,
onsdag,26.november,Hvile,00:00,,,,
torsdag,27.november,Intervall 6x2min i5 løp m/staver,01:30,,,"Beinhard økt, i dag er det lov å ta i det man har. Hold likvel et lite knepp igjen første 2 dragene",
fredag,28.november,Rolig tilvenningsøkt Trysil,01:30,,,,
lørdag,29.november,Langtur skate m/teknikk og hurtighet Trysil,02:30,Teknikk klassisk Trysil,01:30,,
søndag,30.november,Intervall skate 5x6min i3/terskel Trysil,01:30,,,Intervall for å komme inn i det tekniske. Viktig at man ikke går for fort.,"12,25t"
,,,,,,,
mandag,1.desember,Styrke,01:15,,,"Anbefaler å kjøre med Asker Sk, evt om man legger til noe med vekter i forkant eller etterkant av økten",
tirsdag,2.desember,Hvile,00:00,,,,
onsdag,3.desember,Intervall skate 5x4min i4,01:30,,,"Dønn kontroll. Mange i5 økter i denne perioden, så hold igjen på siste giret i dag",
torsdag,4.desember,Hurtighet klassisk,01:30,,,,
fredag,5.desember,Skate,01:15,,,"Samle overskudd frem mot Hakadal, så sørg for at øktene fremover ikke blir lenger enn planlagt og hold riktig intensitet",
lørdag,6.desember,Intervall klassisk 5x3min i5 (4min i3 oppvarmingsdrag),01:15,Styrke,01:00,"Kjør et oppvarmingsdrag først, deretter er det bare å gi gass. Prøv å hold en viss progresjon fra lav i5 til høy i5",
søndag,7.desember,Skate,01:45,,,,"9,5t"
,,,,,,,
mandag,8.desember,Hvile,00:00,,,,
tirsdag,9.desember,"Styrke, lett eksplosiv",01:15,,,"Skal være relativt rolig, bruker du vekter så gå ned 5-10kg og kjør øvelsene veldig eksplosivt. Økten er mer ment for å vekke musklene, enn å bli støl og sliten.",
onsdag,10.desember,Intervall skate 4x4min i4 + 3x2min i5,01:30,,,"Veldig viktig at de første fire dragene er med ""bremsen"" på, kun siste tre 2-minuttersdragene som er bånn gass",
torsdag,11.desember,"Basisferdigheter (svinger, utfor, balanse) klassisk",01:30,,,,
fredag,12.desember,Rennforberedende skate,01:00,,,"Kjør de forberedelsene du er trygg på. Noen varianter: 5 stigningsdrag (ca 30sek), 5 hurtighetsdrag, 3x2min i4",
lørdag,13.desember,Hakadalsrennet fristil,01:30,Kort jogg?,00:20,Masse lykke til! Veldig viktig å holde fokus på de tekniske oppgavene og ikke stresse. Da man går raskest :-),
søndag,14.desember,Konnerudrennet klassisk,01:30,,,,"8,25t"

,,,,,,,


