Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
søndag,25.mai,Sprintøkt klassisk,02:00,,,"Prolog + kvartfinaler, semifinaler og finaler med opprykk og nedrykk. Blir dermed fire drag/runder totalt","9,75t"
,,,,,,,
mandag,26.mai,Styrke m/Asker Sk,01:30,,,,
tirsdag,27.mai,Felthurtighet skate,01:30,,,,
onsdag,28.mai,Fotballtrening,01:30,,,,
torsdag,29.mai,Fotball kamp,01:15,,,"01:30 rolig klassisk, hvis kamp blir avlyst",
fredag,30.mai,Hvile,00:00,,,,
lørdag,31.mai,Intervall 3-4-5-4-3min i4 skate,01:15,,,"Holde igjen siste giret, selv på 3- og 4-minutterne. Lov å få litt syre, men skal ikke være helt kjørt på slutten",
søndag,1.juni,Langtur: søndagsgruppa,02:15,,,"Viktig å huske at de rolige turene MÅ gå rolig, spessielt når de er lange. Sone 1/i1 er tingen :-)","9,25t"
,,,,,,,
mandag,2.juni,Hvile,00:00,,,,
tirsdag,3.juni,Intervall 4/5x5min i4 klassisk,01:30,,,Se an om du ønsker 4 eller 5 drag. Tenker i utgangspunktet at 4 holder., 
onsdag,4.juni,Fotballtrening,01:30,,,,
torsdag,5.juni,Teknikk klassisk,01:30,,,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt kjeldelig økt, men lurt å følge godt med",
fredag,6.juni,Hurtighet klassisk,01:30,,,,
lørdag,7.juni,"Intervall 5/6x6min i3 skate + lek, stafetter og styrke",03:00,,,,
søndag,8.juni,Langtur løp + rolig skate,04:25,,,,12t
,,,,,,,
mandag,9.juni,Langtur klassisk,02:30,,,Kan vurdere hvile om du blir sliten etter samling,
tirsdag,10.juni,Hvile,00:00,,,,
onsdag,11.juni,TG1 - Skate,01:30,,,,
torsdag,12.juni,Intervall 5x7min i3/terskel skate,01:30,,,"Nok en intervall vi skal ha hvor kontroll er fokus, skal kunne gå samme tempo på alle drag eller progressivt",
fredag,13.juni,Fotballtrening,01:30,,,,
lørdag,14.juni,Hvile,00:00,,,,
søndag,15.juni,Intervall 5x4min i4 løp: søndagsgruppa,01:15,,,"Lov å ta i litt ekstra i dag, men skal ikke ligge i grøfta etter siste draget likevel","8,75t"
,,,,,,,
mandag,16.juni,Styrke,01:15,,,,
tirsdag,17.juni,Hurtighet løp,01:30,,,,
onsdag,18.juni,Klassisk,01:00,,,,
torsdag,19.juni,"Intervall 3x6min + 3x4min i3 +
i4 løp",01:30,,,Kontrollert første 3 dragene og skru opp farten mer på siste 3,
fredag,20.juni,Fotballtrening,01:30,,,,
lørdag,21.juni,Hvile,00:00,,,,
søndag,22.juni,Intervall 5/6x6min i3/terskel løp,01:30,,,"Ha kontroll hele veien, er kroppen bra og du treffer godt med åpningsfarten kan man vurdere et drag nr 6","8,25t"
,,,,,,,
mandag,23.juni,Styrke,01:15,,,,
tirsdag,24.juni,Hurtighet løp,01:15,,,"Helst flatt eller oppover, unngå hurtighet i nedover på løping",
onsdag,25.juni,Intervall 5-6-7-6-5min i3/terskel skate,01:30,,,Holde farten/pulsen jevn og kontrollert selv om dragene er av forskjellig tid,
torsdag,26.juni,Langtur klassisk,02:30,,,Gjerne gå to perioder på 5min uten staver i løpet av økta.,
fredag,27.juni,Hvile,00:00,,,,
lørdag,28.juni,Intervall 4/5x5min i4 klassisk,01:15,,,Prøve å holde jevn fart på alle drag. Er kroppen bra og du treffer med åpningsfart kan du vurdere 5stk,
søndag,29.juni,Valgfri: styrke eller hvile,01:15,,,,9t
,,,,,,,
mandag,30.juni,Sykkel,01:30,,,,
tirsdag,1.juli,Intervall 5x7min i3/terskel skate,01:30,,,Drar til Italia på ettermiddagen,
onsdag,2.juli,Hvile,00:00,,,,
torsdag,3.juli,Hurtighet løp,01:15,,,,
fredag,4.juli,Valgfri: løp eller hvile,01:00,,,"Ikke noe problem å ta hvile her, om du ønsker det",
lørdag,5.juli,Intervall 5x4min løp i4,01:15,,,"Hvis man vil ha økten enda mer effektiv kan du kjøre 20-25min oppvarming, og kutte ut nedjogg.",
søndag,6.juli,Styrke,01:15,,,Kjør styrkeprogrammet som er for uten vekter,"7,75t"
,,,,,,,
mandag,7.juli,Hvile,00:00,,,,
tirsdag,8.juli,Intervall 5x3min løp i5,01:15,,,"Gjerne finn en motbakke og bruk den. Pause mellom 2-3min evt pause å løpe ned til bunn igjen. Drar fra Italia 20:00",
onsdag,9.juli,Styrke,01:15,,,,
torsdag,10.juli,Valgfri: Hurtighet skate eller hvile,01:15,,,,
fredag,11.juli,Intervall 6-7-8-7-6min i3/terskel klassisk,01:30,,,"Holde farten og pulsen jevn, selv om dragene varierer i tid.",
lørdag,12.juli,Langtur skate,02:30,,,"Gjerne gå to perioder på 5min uten staver i løpet av økta. Holde pulsen lav på langturene.",
søndag,13.juli,Hvile,00:00,,,,"7,75t"
,,,,,,,
mandag,14.juli,Intervall 4x5min i4 skate,01:15,,,"Tre intervaller denne uken, så viktig å treffe med riktig fart og intensitet på alle tre",
tirsdag,15.juli,Klassisk,01:00,,,,
onsdag,16.juli,Hvile,00:00,,,,
torsdag,17.juli,Løp,00:45,,,,
fredag,18.juli,Intervall 5x5min i3/terskel løp,01:30,,,,
lørdag,19.juli,Styrke,01:15,,,,
søndag,20.juli,Hvile,00:00,,,,
,,,,,,,
mandag,21.juli,Intervall 4x4min i4 løp,01:15,,,"Skal kjenne at man puster godt og at bena jobber godt, men unngå mye syre på de første dragene",
tirsdag,22.juli,Styrke,01:15,,,,
onsdag,23.juli,Løp,00:45,,,,
torsdag,24.juli,Hvile,00:00,,,,
fredag,25.juli,Intervall 5x5min i3/terskel løp,01:15,,,"Selv om det er 5min-drag er det i3 i dag. Altså holde igjen på det siste giret.",
lørdag,26.juli,Styrke,01:15,,,,
søndag,27.juli,Hvile,00:00,,,,"5,75t"
,,,,,,,
mandag,28.juli,Løp,00:45,,,,
tirsdag,29.juli,Intervall 5x3min i5 løp,01:15,,,"Sørg for å hold første og kansje andre draget relativ kontrollert. Deretter kan man gi bånn gass",
onsdag,30.juli,Hvile,00:00,,,Hjem fra ferie,
torsdag,31.juli,Hurtighet klassisk,01:15,,,,
fredag,1.august,Intervall 5x6min i3/terskel skate,01:30,,,"Prøve å holde jevn/lik fart på alle drag, ikke dra på noe syre nå før sommerskiskolen",
lørdag,2.august,Styrke,01:15,,,,
søndag,3.august,Hvile,00:00,,,Reise dag før Trysil (hvile),6t
,,,,,,,
mandag,4.august,Trysil sommerskiskole,,,,,
tirsdag,5.august,,,,,,
onsdag,6.august,,,,,,
torsdag,7.august,,,,,,
fredag,8.august,,,,,,
lørdag,9.august,Hvile,00:00,,,,
søndag,10.august,Valgfri: sykkel eller hvile,01:00,,,Se an kroppen om du trenger to rene hviledager for å hente deg helt inn etter mye trening,
,,,,,,,
mandag,11.august,Hurtighet skate,01:30,,,,
tirsdag,12.august,Intervall 5-6-7-6-5min i3/terskel klassisk,01:30,,,"Hold alt i i3, selv om dragene varierer i tid",
onsdag,13.august,Styrke,01:15,,,,
torsdag,14.august,Valgfri: Skate eller hvile,01:00,,,,
fredag,15.august,Intervall 5x4min i4 løp,01:15,,,"Prøve å ligge stabilt i i4, helst ikke så mye i5 da det har vært mye trening Trysil sommerskiskole",
lørdag,16.august,Langtur klassisk,02:30,,,Gjerne gå 2 perioder på 5min uten staver ila økten,
søndag,17.august,Hvile,00:00,,,,9t
,,,,,,,
mandag,18.august,"Styrke m/Asker sk",01:15,,,,
tirsdag,19.august,Hurtighet løp,01:30,,,,
onsdag,20.august,Fotballtrening,01:30,,,,
torsdag,21.august,Løp,00:30,,,"Kan fint kjøre 4 drag om man må spare kroppen litt til søndagen, ta å kjenn etter underveis",
fredag,22.august,Klassisk,00:45,,,,
lørdag,23.august,Skate,01:00,,,,
søndag,24.august,Hvile,00:00,,,,
,,,,,,,
mandag,25.august,TG1 - klassisk,01:30,,,,
tirsdag,26.august,Teknikk skate (strikk og øvelser),01:30,,,,
onsdag,27.august,Fotballtrening,01:30,,,,
torsdag,28.august,Motbakkeløp,01:45,,,,
fredag,29.august,Fotballtrening,01:30,,,,
lørdag,30.august,Sprintøkt klassisk,02:00,,,,
søndag,31.august,Hvile,00:00,,,,
,,,,,,,
mandag,1.september,Styrke m/Asker sk,01:15,,,,
tirsdag,2.september,Vestmarka opp klassisk,01:30,,,,
onsdag,3.september,Fotballtrening,01:30,,,,
torsdag,4.september,Felthurtighet skate,01:30,,,,
fredag,5.september,NTG - Geilo,,,,,
lørdag,6.september,NTG - Geilo,,,,,
søndag,7.september,NTG - Geilo,,,,,
,,,,,,,
mandag,8.september,Styrke m/Asker sk,01:15,,,,
tirsdag,9.september,Hurtighet skate,01:30,Mikroøkt: teknikk,00:20,,
onsdag,10.september,Hvile,00:00,,,Kan jogge 30min,
torsdag,11.september,Askerspurten,01:30,Mikroøkt: styrke,00:20,,
fredag,12.september,Fotballtrening,01:30,,,,
lørdag,13.september,Forflyttingssamling dag 1,05:00,,,"Blir store mengder trening og tung belastning på kroppen, da er det veldig viktig å holde intensiteten lav hele dagen.",
søndag,14.september,Forflyttingssamling dag 2,05:00,Teori: teknikkvideoer skate Youtube,00:20,,
,,,,,,,
mandag,15.september,Hvile,00:00,Mikroøkt: teknikk,00:20,,
tirsdag,16.september,Intervall 4x6min i3/terskel skate,01:15,,,Dropp fellestrening,
onsdag,17.september,Styrke,01:15,,,,
torsdag,18.september,Teknikk klassisk,01:30,Mikroøkt: styrke,00:20,,
fredag,19.september,Fotball,01:30,,,,
lørdag,20.september,Oslo Marathon 10km,01:30,Mikroøkt: teknikk,00:20,,
søndag,21.september,Langtur sykkel,02:30,Teori: teknikkvideoer klassisk Youtube,00:20,,
,,,,,,,
mandag,22.september,Hvile,00:00,,,,
tirsdag,23.september,"Lett (Hurtighet, spenst, og litt lek)",01:30,Mikroøkt: teknikk,00:20,,
onsdag,24.september,Styrke eller fotball,01:15,,,,
torsdag,25.september,Terrengløp Asker Sk,01:30,Mikroøkt: styrke,00:20,,
fredag,26.september,Hurtighet skate,01:30,,,,
lørdag,27.september,Langtur klassisk,02:30,Rolig skate,01:30,,
søndag,28.september,Intervall løp,01:30,Rolig klassisk,01:30,,
,,,,,,,
mandag,29.september,Langtur løp,02:30,,,,
tirsdag,30.september,Hvile,00:00,,,,
onsdag,1.oktober,Løp,01:00,,,,
torsdag,2.oktober,Styrke,01:15,,,,
fredag,3.oktober,Intervall 5x4min i4 løp,01:15,,,,
lørdag,4.oktober,Løp,01:00,,,,
søndag,5.oktober,Hvile,00:00,Teori: teknikkvideoer skate Youtube,00:20,Teori teknikk,7t
,,,,,,,
mandag,6.oktober,Klassisk,01:00,Mikroøkt: teknikk klassisk,00:20,"Huske å ta det ekstra rolig alle dager før intervall, slik at man sikrer at intervallen blir best mulig",
tirsdag,7.oktober,Intervall 4/5x7min i3/terskel skate,01:30,Mikroøkt: styrke,00:20,"Forholdsvis lange drag, så viktig å ha kontroll fra start av",
onsdag,8.oktober,Løp hurtighet,01:15,,,"Kjør 9 hurtighetsdrag. Du kan velge om du gjør det strukturert med serier, eller når det passer seg på en rundtur",
torsdag,9.oktober,Hvile,00:00,,,,
fredag,10.oktober,Styrke,01:15,,,,
lørdag,11.oktober,Langtur løp m/langkjøringsgruppa,02:30,Mikroøkt: teknikk skate,00:20,"Blir bollestopp underveis, så ta med penger. Fokus på å holde seg mest mulig i i1",
søndag,12.oktober,Intervall 4/5x5min i4 løp,01:15,Teori: teknikkvideoer klassisk Youtube,00:20,Teori teknikk,"9,25t"
,,,,,,,
mandag,13.oktober,Skate,01:15,Mikroøkt: styrke,00:20,,
tirsdag,14.oktober,Hurtighet & spenst + Asker Sk Stafetten løp,01:30,Mikroøkt: teknikk klassisk,00:20,,
onsdag,15.oktober,Rennforberedende klassisk,01:00,,,Kjør 5 stigningsdrag eller hurtighetsdrag,
torsdag,16.oktober,Motbakkeløp,01:45,Mikroøkt: styrke,00:20,,
fredag,17.oktober,Fotball / Hvile,00:00,,,,
lørdag,18.oktober,Rolig,00:30,Mikroøkt: teknikk skate,00:20,,
søndag,19.oktober,Klassisk 45min - 1t,00:45,Teori: teknikkvideoer skate Youtube,00:20,Teori teknikk,10t
,,,,,,,
mandag,20.oktober,Løp,01:00,Mikroøkt: styrke,00:20,,
tirsdag,21.oktober,Teknikk skate,01:30,,,,
onsdag,22.oktober,Styrke,01:15,,,,
torsdag,23.oktober,Intervall 5x6min i3/terskel klassisk,01:30,Mikroøkt: teknikk klassisk,00:20,"Viktig at det kjøres kontrollert hele veien, slik at lørdagen også blir med bra kvalitet",
fredag,24.oktober,Fotball / Hvile,00:00,,,,
lørdag,25.oktober,Intervall 5-6-7-6-5min i3/terskel løp,01:15,Mikroøkt: styrke,00:20,"Dønn kontroll på denne, ikke noe som helst i4",
søndag,26.oktober,Langtur klassisk,02:30,Teori: teknikkvideoer klassisk Youtube,00:20,Teori teknikk,
,,,,,,,
mandag,27.oktober,Styrke,01:15,,,,
tirsdag,28.oktober,Felthurtighet skate,01:30,Mikroøkt: teknikk skate,00:20,,
onsdag,29.oktober,Klassisk,01:15,,,,
torsdag,30.oktober,Intervall 5/6x3min i5 hufs løping/m staver,01:30,Mikroøkt: styrke,00:20,"Viktig å åpne med en viss kontroll, slik at man klarer å løpe siste draget også",
fredag,31.oktober,Fotball / Hvile,00:00,,,,
lørdag,1.november,Skate,01:45,Mikroøkt: teknikk klassisk,00:20,,
søndag,2.november,Intervall 3x6min i3 + 3x4min i4 valgfri stilart/løp,01:30,,,"Teori teknikk Husk å skill godt på intensiteten. Første tre veldig kontrollerte (6min), siste tre økes farten (4min)",
,,,,,,,
mandag,3.november,Skate,01:00,,,,
tirsdag,4.november,Intervall (4min + 6min (45/15))x3 i4/i5 hufs m/staver,01:30,,,"Første 3-4 dragene må være i i4, deretter kan man øke farten og bevege seg inn i i5",
onsdag,5.november,Styrke,01:15,Mikroøkt: teknikk skate,00:20,,
torsdag,6.november,Hurtighet & Spenst løp,01:30,,,,
fredag,7.november,Hvile,00:00,,,,
lørdag,8.november,Intervall skate 5x4min i4,01:15,Mikroøkt: Styrke,00:20,"Hard intervall både i forkant og etterkant av denne, så legg deg mot det lavere siktet i4",
søndag,9.november,Langtur klassisk,02:15,Teori: teknikk klassisk,00:20,,
,,,,,,,
mandag,10.november,Skate,01:15,Mikroøkt: teknikk klassisk,00:20,,
tirsdag,11.november,Intervall HYROX i5,01:30,,,,
onsdag,12.november,Hvile,00:00,,,,
torsdag,13.november,Hurtighet klassisk,01:30,Mikroøkt: Styrke,00:20,,
fredag,14.november,Intervall løp 5x6min i3/terskel,01:30,,,"Skal være ren i3 på klokka i dag. Unngå i4, da det ellers kommer mange harde intervaller de neste ukene",
lørdag,15.november,Styrke,01:15,,,,
søndag,16.november,Langtur løp,02:30,Teori: teknikk skate,00:20,"Veldig viktig at denne går rolig i1, hard intervall i morgen...",
,,,,,,,
mandag,17.november,Intervall skate 4-4-3-3-2-2-1-1min i5,01:15,Mikroøkt: teknikk skate,00:20,"Første 4-min dragene må ha en viss kontroll midt/høy i4, om mulig gjerne kjør på Konnerud eller Kollen (mindre blader)",
tirsdag,18.november,Hurtighet & Spenst løp,01:30,Mikroøkt: Styrke,00:20,,
onsdag,19.november,Hvile,00:00,,,,
torsdag,20.november,Intervall 3x6min i3 + 3x4min i4 løp,01:30,,,"Todelt intervall, første del veldig kontrollert, deretter lov å skru opp tempo litt",
fredag,21.november,Styrke,01:15,,,,
lørdag,22.november,Skate,01:30,,,,
søndag,23.november,Intervall klassisk eller løp 4x5min i4,01:15,Teori: teknikk klassisk,00:20,"Prøv å hold pulsen stabilt i i4, og ikke bli overivrig",
,,,,,,,
mandag,24.november,Styrke,01:15,,,,
tirsdag,25.november,Hurtighet løp,01:30,Mikroøkt: teknikk klassisk,00:20,,
onsdag,26.november,Hvile,00:00,,,,
torsdag,27.november,Intervall 6x2min i5 løp m/staver,01:30,,,"Beinhard økt, i dag er det lov å ta i det man har. Hold likvel et lite knepp igjen første 2 dragene",
fredag,28.november,Rolig tilvenningsøkt Trysil,01:30,,,,
lørdag,29.november,Langtur skate m/teknikk og hurtighet Trysil,02:30,Teknikk klassisk Trysil,01:30,,
søndag,30.november,Intervall skate 5x6min i3/terskel Trysil,01:30,,,Intervall for å komme inn i det tekniske. Viktig at man ikke går for fort.,
,,,,,,,
mandag,1.desember,Styrke,01:15,,,,
tirsdag,2.desember,Hvile,00:00,,,,
onsdag,3.desember,Intervall skate 5x4min i4,01:30,,,"Dønn kontroll. Mange i5 økter i denne perioden, så hold igjen på siste giret i dag",
torsdag,4.desember,Hurtighet klassisk,01:30,Mikroøkt: Styrke,00:20,,
fredag,5.desember,Skate,01:00,Mikroøkt: teknikk skate,00:20,"Samle overskudd frem mot Hakadal, så sørg for at øktene fremover ikke blir lenger enn planlagt og hold riktig intensitet",
lørdag,6.desember,Intervall klassisk 5x3min i5 (4min i3 oppvarmingsdrag),01:15,,,"Kjør et oppvarmingsdrag først, deretter er det bare å gi gass. Prøv å hold en viss progresjon fra lav i5 til høy i5",
søndag,7.desember,Skate,01:45,Teori: teknikk skate,00:20,,
,,,,,,,
mandag,8.desember,Hvile,00:00,,,,
tirsdag,9.desember,"Styrke, lett eksplosiv",01:15,,,"Skal være relativt rolig, bruker du vekter så gå ned 5-10kg og kjør øvelsene veldig eksplosivt. Økten er mer ment for å vekke musklene, enn å bli støl og sliten.",
onsdag,10.desember,Intervall skate 4x4min i4 + 3x2min i5,01:30,,,"Veldig viktig at de første fire dragene er med bremsen på, kun siste tre 2-minuttersdragene som er bånn gass",
torsdag,11.desember,"Basisferdigheter (svinger, utfor, balanse) klassisk",01:30,,,,
fredag,12.desember,Rennforberedende skate,01:00,,,"Kjør de forberedelsene du er trygg på. Noen varianter: 5 stigningsdrag (ca 30sek), 5 hurtighetsdrag, 3x2min i4",
lørdag,13.desember,Hakadalsrennet fristil,01:30,,,Masse lykke til! Veldig viktig å holde fokus på de tekniske oppgavene og ikke stresse. Da man går raskest :-),
søndag,14.desember,Konnerudrennet klassisk,01:30,,,,
,,,,,,,















