Dag,Dato,Hva økt 1,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
tirsdag,15.juli,Hvile,00:00,"Avreise til Spania, blir til 26. juli",
onsdag,16.juli,Valgfri: Hurtighet løp eller hvile,01:15,Ikke noe problem å unne seg noen ekstra hviledager i Spania :-),
torsdag,17.juli,Intervall 5x3min løp i5,01:15,"Hvis man vil ha økten enda mer effektiv kan du kjøre 20-25min oppvarming, og kutte ut nedjogg.",
fredag,18.juli,Styrke,01:15,,
lørdag,19.juli,Hvile,00:00,,
søndag,20.juli,Intervall 5x5min løp i3/terskel,01:15,"Husk å holde den i i3, selv om det er forholdsvis korte drag","6,25t"
,,,,,
mandag,21.juli,Styrke,01:15,Spania,
tirsdag,22.juli,Hvile,00:00,,
onsdag,23.juli,Intervall 4/5x4min løp i4,01:15,"Om man ønsker å holde intervallene i Spania kortest mulig, kjør 25min oppvarming og kan fint droppe nedgåiing",
torsdag,24.juli,Styrke,01:15,,
fredag,25.juli,Valgfri: løp eller hvile,01:15,Helt fint å kjøre hvile her om ønskelig,
lørdag,26.juli,Hvile,00:00,Hjemreise Spania,
søndag,27.juli,Intervall 5x6min klassisk i3/terskel,01:30,"Holde kontroll hele veien, unngå syre","6,5t"
,,,,,
mandag,28.juli,Langtur skate,02:30,Gjerne gå to perioder på 5min uten staver,
tirsdag,29.juli,Sykkel,01:45,Husk å hold dagene før intervall rolig nok,
onsdag,30.juli,Intervall 4/5x5min skate i4,01:30,Ta å se an dagsform og åpningsfart om du ønsker å ta et femte drag eller ikke,
torsdag,31.juli,Styrke,01:15,,
fredag,1.august,Klassisk,01:15,Hold de to kommende dagene rolig. Blir mye trening på sommerskiskolen,
lørdag,2.august,Skate,01:00,,
søndag,3.august,Hvile,00:00,,"9,25t"
,,,,,
mandag,4.august,Trysil sommerskiskole,,,
tirsdag,5.august,,,,
onsdag,6.august,,,,
torsdag,7.august,,,,
fredag,8.august,,,,
lørdag,9.august,Hvile,00:00,,
søndag,10.august,Valgfri: sykkel eller hvile,01:00,Se an kroppen om du trenger to rene hviledager for å hente deg helt inn etter mye trening,
,,,,,
mandag,11.august,Hurtighet skate,01:30,,
tirsdag,12.august,Intervall 5-6-7-6-5min i3/terskel klassisk,01:30,"Hold alt i i3, selv om dragene varierer i tid",
onsdag,13.august,Styrke,01:15,,
torsdag,14.august,Sykkel,01:00,,
fredag,15.august,Intervall 5x4min i4 løp,01:15,"Prøve å ligge stabilt i i4, helst ikke så mye i5 da det har vært mye trening Trysil sommerskiskole",
lørdag,16.august,Langtur klassisk,02:30,Gjerne gå 2 perioder på 5min uten staver ila økten,
søndag,17.august,Hvile,00:00,,9t
,,,,,
mandag,18.august,Styrke med Asker,01:15,,
tirsdag,19.august,Hurtighet løp,01:30,,
onsdag,20.august,Skiskyting,01:30,,
torsdag,21.august,Intervall 4/5x6min i3/terskel løp,01:30,"Kan fint kjøre 4 drag om man må spare kroppen litt til søndagen, ta å kjenn etter underveis",
fredag,22.august,Hvile,00:00,,
lørdag,23.august,Rennforberedende klassisk ,01:00,Kjør 6 hurtighetdrag eller stigningsdrag,
søndag,24.august,Sørlisprinten skate,02:00,,"8,75t"
,,,,,
mandag,25.august,Teknikk skate (strikk og øvelser),01:30,,
tirsdag,26.august,,01:30,,
onsdag,27.august,Skiskyting,01:15,,
torsdag,28.august,Motbakkeløp,01:45,,
fredag,29.august,Hvile,00:00,,
lørdag,30.august,Km rulleskiskyting,01:30,,
søndag,31.august,Sykkel,01:30,,9t
,,,,,
mandag,1.september,Styrke med Asker,01:15,,
tirsdag,2.september,Vestmarka opp klassisk,01:30,,
onsdag,3.september,Skiskyting/hvile,01:30,,
torsdag,4.september,Felthurtighet skate,01:30,,
fredag,5.september,Hvile,00:00,,
lørdag,6.september,Gjelleråsbakken opp klassisk,01:30,,
søndag,7.september,Skiskytterrenn eller langtur?,01:30,,"8,75t"
,,,,,
mandag,8.september,Styrke med Asker,01:15,,
tirsdag,9.september,Intervall 7-6-5-6-7min i3/terskel skate,01:30,"Hvis renn søndag, kjør denne intervallen på onsdag eller torsdag istedenfor",
onsdag,10.september,Skiskyting,01:30,,
torsdag,11.september,Hurtighet klassisk,01:30,,
fredag,12.september,Hvile,00:00,,
lørdag,13.september,Forflyttingssamling dag 1,05:00,"Blir store mengder trening og tung belastning på kroppen, da er det veldig viktig å holde intensiteten lav hele dagen.",
søndag,14.september,Forflyttingssamling dag 2,05:00,,"15,75t"
,,,,,
mandag,15.september,Styrke med Asker,01:15,,
tirsdag,16.september,Hurtighet løp,01:30,,
onsdag,17.september,Skiskyting,01:30,Kan ha kontrollert intervall her,
torsdag,18.september,Teknikk klassisk,01:30,,
fredag,19.september,Hvile,00:00,,
lørdag,20.september,Oslo Marathon 10km,01:30,,
søndag,21.september,Rælingenrennet skate,01:30,,"8,75t"
,,,,,
mandag,22.september,,,,
tirsdag,23.september,Rolig løp eller klassisk,00:45,,
onsdag,24.september,Rolig skate,01:00,,
torsdag,25.september,Intervall 2x6min i2 + 2x6min i3 + 1x3min i4,01:00,,
fredag,26.september,Hurtighet skate,01:30,,
lørdag,27.september,Langtur klassisk + skate,04:00,,
søndag,28.september,Intervall 5x6min i3 + klassisk,03:00,,
,,,,,
mandag,29.september,Langtur løp,02:30,,
tirsdag,30.september,Hvile,00:00,"Dobbel hvile, nullstille kroppen etter samling og en periode med mange konkurranser",
onsdag,1.oktober,Hvile/Skyteøkt uten aktivitet,00:00,,
torsdag,2.oktober,Styrke,01:15,,
fredag,3.oktober,Intervall 3x6min i3 + 3x4min i4 klassisk,01:30,,
lørdag,4.oktober,Langtur skate eller sykkel,03:00,"To langturer, tid et sted mellom 2-3t, du kan velge. Viktig å holde lav intensitet (i1)",
søndag,5.oktober,Langtur løp,02:30,,"10,75t"
,,,,,
mandag,6.oktober,Styrke + skiskyting,02:15,,
tirsdag,7.oktober,Intervall 4/5x7min i3/terskel skate,01:30,"Forholdsvis lange drag, så viktig å ha kontroll fra start av",
onsdag,8.oktober,Skiskyting,01:30,,
torsdag,9.oktober,Hurtighet + teknikk klassisk,01:30,,
fredag,10.oktober,Hvile,00:00,,
lørdag,11.oktober,Langtur løp m/langkjøringsgruppa,02:30,"Blir bollestopp underveis, så ta med penger. Fokus på å holde seg mest mulig i i1",
søndag,12.oktober,Intervall 4/5x5min i4 løp,01:15,"Skal kunne holde et høyt tempo, men spar på det aller siste giret","10,5t"
,,,,,
mandag,13.oktober,Styrke og/eller skiskyting,01:15,,
tirsdag,14.oktober,Hurtighet & spenst + Asker Sk Stafetten løp,01:30,,
onsdag,15.oktober,Skiskyting eller rolig klassisk,01:00,Unngå hardt. Kan ha 5 hurtighet eller stignigsdrag om du ønsker,
torsdag,16.oktober,Motbakkeløp,01:45,,
fredag,17.oktober,Hvile,00:00,,
lørdag,18.oktober,Distanseøkt skate,01:30,,
søndag,19.oktober,Sprintøkt klassisk,02:00,,9t
,,,,,
mandag,20.oktober,Styrke og/eller skiskyting,01:15,,
tirsdag,21.oktober,Teknikk skate,01:30,,
onsdag,22.oktober,Hvile,01:30,"Huske å ta det ekstra rolig alle dager før intervall, slik at man sikrer at intervallen blir best mulig",
torsdag,23.oktober,Intervall 5x6min i3/terskel klassisk,01:30,"Viktig at det kjøres kontrollert hele veien, slik at lørdagen også blir med bra kvalitet",
fredag,24.oktober,Mot samling,00:00,Kan hende jeg skal på skiskyttersamling med kretsen men litt usikker,
lørdag,25.oktober,Mot samling skiskyting,01:15,"Dønn kontroll på denne, ikke noe som helst i4",
søndag,26.oktober,Mot samling skiskyting,03:00,Kan hende jeg skal på skiskyttersamling med kretsen men litt usikker,10t
,,,,,
mandag,27.oktober,Styrke og eller skiskyting,01:15,,
tirsdag,28.oktober,Felthurtighet skate,01:30,,
onsdag,29.oktober,Klassisk,01:15,,
torsdag,30.oktober,Intervall 5/6x3min i5 hufs løping/m staver,01:30,"Viktig å åpne med en viss kontroll, slik at man klarer å løpe siste draget også",
fredag,31.oktober,Hvile,00:00,,
lørdag,1.november,Skate,01:45,,
søndag,2.november,Intervall 3x6min i3 + 3x4min i4 valgfri stilart/løp,01:30,"Husk å skill godt på intensiteten. Første tre veldig kontrollerte (6min), siste tre økes farten (4min)",
,,,,,
mandag,3.november,Styrke + skiskyting,02:00,,
tirsdag,4.november,Intervall (4min + 6min (45/15))x3 i4/i5 hufs m/staver,01:30,"Første 3-4 dragene må være i i4, deretter kan man øke farten og bevege seg inn i i5",
onsdag,5.november,Hvile,00:00,,
torsdag,6.november,Hurtighet & Spenst løp,01:30,,
fredag,7.november,Trysil samling skiskyting,01:30,,
lørdag,8.november,Trysil samling skiskyting,03:00,,
søndag,9.november,Trysil samling skiskyting,02:00,,
,,,,,
mandag,10.november,Klassisk,01:15,,
tirsdag,11.november,Intervall HYROX i5,01:30,,
onsdag,12.november,Styrke,01:15,,
torsdag,13.november,Hurtighet løp,01:30,,
fredag,14.november,Hvile,00:00,,
lørdag,15.november,Intervall klassisk 3x4min i4 + 4x2min i5,01:15,"Viktig å skille på tempo, første 3 dragene må tas med litt kontroll, siste 4 (2-minutterne) tar man ut det man har",
søndag,16.november,Langtur løp,02:30,,
,,,,,
mandag,17.november,Styrke + skiskyting,02:00,,
tirsdag,18.november,Hurtighet & Spenst løp,01:30,,
onsdag,19.november,Skiskyting,01:30,,
torsdag,20.november,Intervall 3x6min i3 + 3x4min i4 løp,01:30,"Todelt intervall, første del veldig kontrollert, deretter lov å skru opp tempo litt",
fredag,21.november,Hvile,00:00,,
lørdag,22.november,Skate,01:30,Kan kjøres som skierg,
søndag,23.november,Intervall klassisk eller løp 4x5min i4,01:15,"Prøv å hold pulsen stabilt i i4, og ikke bli overivrig. Kan kjøres på skierg",
,,,,,
mandag,24.november,Styrke + skiskyting,02:00,,
tirsdag,25.november,Hurtighet løp,01:30,,
onsdag,26.november,Hvile,00:00,,
torsdag,27.november,Intervall 6x2min i5 løp m/staver,01:30,"Beinhard økt, i dag er det lov å ta i det man har. Hold likvel et lite knepp igjen første 2 dragene",
fredag,28.november,Tilvenningsøkt klassisk Trysil,01:30,,
lørdag,29.november,Teknikk: Langtur skate + klassisk Trysil,04:00,,
søndag,30.november,Intervall skate 5x6min i3/terskel Trysil,01:30,Intervall for å komme inn i det tekniske. Viktig at man ikke går for fort.,
,,,,,
mandag,1.desember,Styrke + skiskyting,02:00,,
tirsdag,2.desember,Hvile,00:00,,
onsdag,3.desember,Intervall skate 5x4min i4,01:30,"Dønn kontroll. Mange i5 økter i denne perioden, så hold igjen på siste giret i dag",
torsdag,4.desember,Hurtighet klassisk,01:30,,
fredag,5.desember,Skate,01:15,"Samle overskudd frem mot Hakadal, så sørg for at øktene fremover ikke blir lenger enn planlagt og hold riktig intensitet",
lørdag,6.desember,Intervall klassisk 5x3min i5 (4min i3 oppvarmingsdrag),01:15,"Kjør et oppvarmingsdrag først, deretter er det bare å gi gass. Prøv å hold en viss progresjon fra lav i5 til høy i5",
søndag,7.desember,Skate,01:45,Kan kutte litt ned på denne,
,,,,,
mandag,8.desember,Hvile,00:00,"Skal være relativt rolig, bruker du vekter så gå ned 5-10kg og kjør øvelsene veldig eksplosivt. Økten er mer ment for å vekke musklene, enn å bli støl og sliten.",
tirsdag,9.desember,"Styrke, lett eksplosiv",01:15,,
onsdag,10.desember,Intervall skate 4x4min i4 + 3x2min i5,01:30,"Veldig viktig at de første fire dragene er med ""bremsen"" på, kun siste tre 2-minuttersdragene som er bånn gass",
torsdag,11.desember,"Basisferdigheter (svinger, utfor, balanse) klassisk",01:30,,
fredag,12.desember,Rennforberedende skate,01:00,"Kjør de forberedelsene du er trygg på. Noen varianter: 5 stigningsdrag (ca 30sek), 5 hurtighetsdrag, 3x2min i4",
lørdag,13.desember,Hakadalsrennet fristil,01:30,Masse lykke til! Veldig viktig å holde fokus på de tekniske oppgavene og ikke stresse. Da man går raskest :-),
søndag,14.desember,Konnerudrennet klassisk,01:30,,
,,,,,

,,,,,


